Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.125018206878645	0.0090532081244051	0.00331677540914683
ctrx_quarter	0.0521269604908007	0.0049361688296743	0.00316105825378782
mcaja_ahorro	0.0433967831021232	0.00504006331345861	0.00549681558417291
ctrx_quarter_normalizado_mean3	0.0317667491358453	0.00161717187796269	0.000856444354474533
mtarjeta_visa_consumo	0.0232086652972887	0.00734503805150492	0.00507637926470359
mcuentas_saldo	0.0185654987478481	0.00562834454852384	0.00510752269577539
cpayroll_trx	0.0182301437075084	0.00785595915008658	0.0025381896323518
mcaja_ahorro_mean3	0.0182005026202831	0.00231533016169977	0.00309877139164422
mpasivos_margen	0.0158068556241264	0.00285976304096106	0.0027250502187826
mpayroll_sobre_edad	0.0129570461375652	0.00845083403187414	0.0025226179168159
mcuenta_corriente	0.0122341602723559	0.000857374452547957	0.00221118360609788
mpayroll	0.0114261055644289	0.00927069970273152	0.00278733708092621
mprestamos_personales	0.00961653188396017	0.0048506652939709	0.0026004764944954
ctarjeta_visa_trx	0.00875232685363729	0.00481220622647235	0.00437565206558807
mpasivos_margen_sobre_edad	0.00827952210476001	0.00452222883867652	0.00289633908967751
mv_mpagospesos	0.00789928292947126	0.00193025526730457	0.00186860586430807
Visa_Finiciomora_mean3	0.00761425916655482	0.00185760149031511	0.000560581759292421
mprestamos_personales_delta3	0.00712884712926434	0.00376124499920101	0.00186860586430807
mpasivos_margen_mean3	0.00664351487030806	0.000770730198295448	0.00118345038072845
mv_Finiciomora_mean3	0.00663521949727736	0.00617188222697752	0.00135473925162335
foto_mes	0.00641851175544673	0.00504929512829792	0.00566810445506782
mv_Finiciomora	0.00565932763646949	0.00283312860866597	0.000809729207866831
Visa_Finiciomora	0.00507099300490033	0.00456525975254961	0.00113673523412074
mcuentas_saldo_delta2	0.00474849420072076	0.00322480653927221	0.00457808436755477
mv_Finiciomora_lag1	0.0046828290170521	0.00428108819859849	0.00123016552733615
mcuenta_corriente_delta3	0.00459610020809569	0.00266754094148017	0.00188417757984397
mv_Finiciomora_delta1	0.00456248603209803	0.0046013854973309	0.00112116351858484
cproductos_delta3	0.00439364966136886	0.00172876602068616	0.000778585776795029
mv_status07_delta3	0.00428605902327418	0.000683985024427382	0.000249147448574409
cliente_vip_lag1	0.00394803533988051	0.0053716018471634	0.00165060184680546
mdescubierto_preacordado_delta3	0.00381435144925644	0.00117110975061253	0.00052943832822062
cproductos_sobre_edad_delta3	0.00381190555048181	0.00588980689376609	0.00284962394306981
mv_msaldototal	0.00368986631880555	0.00167236544863235	0.00165060184680546
cprestamos_personales_delta3	0.00364422684825561	0.000691248385125052	0.000482723181612918
mcuentas_saldo_delta3	0.00346828734013835	0.00170041818058317	0.00283405222753391
cpayroll_trx_mean3	0.00346746260831972	0.00165480174928158	0.00105887665644124
mv_status05_delta3	0.00338217585691849	0.000506090450077901	0.000124573724287205
mcuenta_corriente_delta2	0.00336222150352813	0.00125235372738029	0.00141702611376695
mcuentas_saldo_mean3	0.00330795798826842	0.000632327187442417	0.00138588268269515
mvr_mpagospesos	0.00329219909712156	0.00204180079334212	0.00127688067394385
ctrx_quarter_mean3	0.003286952237028	0.00076757435636828	0.00101216150983354
mpasivos_margen_sobre_edad_mean3	0.00326622162134026	0.000753118160465825	0.00113673523412074
mdescubierto_preacordado_mean9	0.00295976711750224	0.000699635354636875	0.000638440336971924
mprestamos_personales_delta2	0.00290145136951722	0.00533619192917971	0.00183746243323627
mactivos_margen	0.00251006905628381	0.0028001642699533	0.00322334511593142
mv_mpagominimo	0.00247185647653947	0.00290005013758139	0.00194646444198757
Visa_Finiciomora_mean6	0.00240184335828261	0.000851815666583637	0.000545010043756521
ccaja_ahorro	0.00238871708254546	0.00682654749489405	0.00180631900216447
mtransferencias_recibidas	0.00227248030794813	0.00233546560722895	0.00218004017502608
Visa_delinquency_mean3	0.00222367961161206	0.00181321751634481	0.000560581759292421
mautoservicio	0.00210055548511602	0.00296670903902035	0.00105887665644124
ctrx_quarter_normalizado_mean6	0.00198086549333341	0.000560105118277747	0.000545010043756521
mv_fechaalta_delta2	0.00196617326621104	0.002607539743942	0.00115230694965664
ctarjeta_master_lag1	0.0019488657572727	3.70217106583556e-06	1.55717155359006e-05
