Feature	Gain	Cover	Frequency
ctrx_quarter	0.0817625417072858	0.0388140332533561	0.0373716067498166
mpasivos_margen	0.0569729590253149	0.0302777237617953	0.0360723893372463
cpayroll_trx	0.04930874842221	0.0227593984238042	0.00383651259476645
mpayroll	0.0402842009977877	0.0369265535695623	0.00941550501345072
mcaja_ahorro	0.039201779864938	0.0233351494242339	0.035155294693079
mcuentas_saldo	0.0282063703191837	0.0225422992763952	0.0264123257520176
mtarjeta_visa_consumo	0.0269215172653342	0.0209114943379467	0.0257550745903644
mrentabilidad_annual	0.0250274751745722	0.0165404867662094	0.0187087307410125
Visa_msaldopesos	0.0249191569320577	0.0226995645429603	0.0219797016385424
mactivos_margen	0.0234138164599669	0.0181526051357377	0.0213377353876253
ctarjeta_visa_trx	0.0224707967814845	0.0186793353728205	0.0212154561017364
Master_Fvencimiento	0.020730763442589	0.017522725587685	0.0223312545854732
cliente_edad	0.0199613543567878	0.0211597324248172	0.0237527512839325
Master_fechaalta	0.019306169239608	0.0209287408368044	0.0259232086084617
ctarjeta_visa_trx2	0.018915186052552	0.0150557825447867	0.018525311812179
Visa_fechaalta	0.0178241200891836	0.0104155528445912	0.0189838591342627
chomebanking_trx	0.0175171523875445	0.0118167364365731	0.0152390560039129
cliente_antiguedad	0.0174018814663499	0.0106542026748287	0.0175776473465395
Master_mfinanciacion_limite	0.0172739007020318	0.0142673602117351	0.0215364392271949
Visa_Fvencimiento	0.0167817696404944	0.00962587817716087	0.0161408657373441
numero_de_cliente	0.0167455960792408	0.00970854598291609	0.0170273905600391
mprestamos_personales	0.0166523042205631	0.0178379864584145	0.00623624358033749
mcuenta_corriente	0.0156169444750675	0.00899750280403849	0.0141996820738567
Visa_msaldototal	0.015079187447938	0.014975318343857	0.0190755685986794
mrentabilidad	0.0149471696292217	0.00869537541806905	0.0133437270726339
mcomisiones_otras	0.0145688851684593	0.0109390011413963	0.0198245292247493
mcomisiones	0.0144956964590499	0.01021258538631	0.020038517975055
Visa_mfinanciacion_limite	0.0127927769718119	0.0105776122394728	0.0140926876987038
Visa_mpagospesos	0.0127044641564619	0.0132592791154876	0.017516507703595
Visa_mpagominimo	0.0126246340792834	0.0118984586955304	0.016003301540719
mcaja_ahorro_dolares	0.0125964692391734	0.0181858606805615	0.0188462949376376
mtransferencias_recibidas	0.0109843959945877	0.00998361424635808	0.0134507214477867
Visa_mconsumospesos	0.0105288348659163	0.0114962269798047	0.0176235020787479
Master_mlimitecompra	0.0104612137554008	0.0104503377484004	0.0145053802885791
Visa_mlimitecompra	0.0103226986856706	0.0102195396197204	0.0114178283198826
ccomisiones_otras	0.00959082717011045	0.0160695094483065	0.0171496698459281
mautoservicio	0.00878587412204486	0.0201177764849352	0.0237527512839325
