Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.11025230488686	0.0207166159146489	0.0151845130066546
mtarjeta_visa_consumo	0.0570004252573622	0.0170624149335775	0.0117765678564227
ctrx_quarter	0.0470983529229871	0.00626903374209525	0.00516233111514418
mdescubierto_preacordado_tend6	0.0437645716904552	0.0064740851228826	0.00338777979431337
mpasivos_margen_sobre_edad	0.0372979803801835	0.0116455348892999	0.0107481347045775
mcuentas_saldo	0.0360855512332819	0.0230469916557667	0.0190562613430127
mcaja_ahorro_avg3	0.0292575095292106	0.00736488689322731	0.0105868118572293
mcaja_ahorro	0.0284231851566938	0.0105001530689809	0.0124823553135713
cpayroll_trx	0.028139937599393	0.0151727720392408	0.00367009477717282
mv_status01_tend6	0.0195750648857793	0.00697181085413761	0.0039120790481952
mv_status07_delta2	0.0182589263384953	0.0070401201174091	0.00211736237144586
mpasivos_margen	0.0170442968579689	0.0081380635720312	0.0111917725347852
cpayroll_trx_avg3	0.0164206553923591	0.0145476331970408	0.00721919741883444
mv_status07	0.0133892446398723	0.00208605089544358	0.00193587416817907
mv_mpagominimo	0.01302962183522	0.00665831335297942	0.00641258318209316
mprestamos_personales_tend6	0.0118727347807154	0.0156279947798302	0.010123008671103
mv_Finiciomora	0.0114777004272745	0.0191319032613414	0.00691671708005646
ctarjeta_visa_trx	0.0111962062284069	0.0055820167746182	0.00417422867513612
mdescubierto_preacordado_delta1	0.0108317759951562	0.00867370115559003	0.00288364589635007
cproductos_sobre_edad_delta2	0.0107356754303936	0.0081336129196936	0.007884654164146
mactivos_margen_sobre_edad_avg6	0.00980565318157875	0.00864459024768403	0.0130873159911272
mcaja_ahorro_delta2	0.00962995902903935	0.00731585892357608	0.0116959064327485
mprestamos_personales	0.00942576399586105	0.0183856060581828	0.0063117564025005
mcuenta_corriente	0.00931286892405629	0.00812583100398599	0.0131276467029643
mes_avg3	0.00905713887270396	0.0117480595696633	0.0124420246017342
mcomisiones_mantenimiento_tend6	0.00885561637241831	0.0118994129682581	0.0133494656180682
mcuenta_corriente_avg3	0.00809391187096609	0.00744271853795004	0.017322040734019
cprestamos_personales_delta2	0.00800163473684965	0.00430599966325004	0.00278281911675741
mpayroll_sobre_edad	0.0078787605372735	0.0107869266391506	0.00312563016737245
ctarjeta_visa_trx_tend6	0.00774315727374706	0.00765578340683252	0.0117967332123412
mactivos_margen_avg3	0.0073606374504761	0.00813258783082197	0.0127243395845937
mvr_mpagominimo	0.00718367672149292	0.0141959358013189	0.0130671506352087
mv_status07_tend6	0.00716591405681357	0.010127594508703	0.00356926799758016
cpayroll_trx_lag1	0.00704762707831141	0.00478167349611835	0.00286348054043154
mprestamos_personales_delta2	0.00692625206334852	0.012059033464359	0.00621092962290785
mes_lag1	0.00687953090879608	0.0104002442751155	0.0068158903004638
Visa_status	0.00675575172282741	0.00438826120878	0.00326678765880218
cproductos_tend6	0.00667346510185156	0.00804040521735917	0.00727969348659004
mes_lag2	0.00643642990775609	0.00733057010582775	0.00800564629965719
Visa_cconsumos_tend6	0.00641253707988157	0.00785099277750846	0.0145795523290986
mpayroll	0.00635676347390779	0.00956770830280861	0.0029038112522686
mes_avg6	0.0062672955966412	0.0081486307838542	0.0118975599919339
Master_fechaalta_lag2	0.00612995067406826	0.0135259415162059	0.020165355918532
internet_avg6	0.00573288076352969	0.00731640103435162	0.00796531558782012
ccomisiones_mantenimiento_tend6	0.00546143257135973	0.0159845804464461	0.00506150433555152
mactivos_margen	0.00544374525514246	0.00446404956232927	0.0063722524702561
cproductos_tend3	0.00539182183609768	0.00462966146598681	0.00308529945553539
cliente_edad_lag2	0.00500907812422896	0.0113662530806964	0.0176245210727969
mcuenta_corriente_avg6	0.00500421490460995	0.00807976453481637	0.0156079854809437
mtransferencias_recibidas	0.00493005484192113	0.00899258579075922	0.00528332325065537
mcuenta_corriente_tend3	0.00484802863205491	0.00708522393594004	0.00865093768905021
mtransferencias_emitidas_avg6	0.00483705574142252	0.0121852179194286	0.0149021980237951
mes	0.00481885503541088	0.00751667221748067	0.00606977213147812
mpasivos_margen_avg3	0.00474109614097068	0.00537746976620383	0.0093365597902803
mv_Fvencimiento_tend6	0.00452215968920611	0.00747330969108173	0.00945755192579149
tmobile_app	0.00451798394604035	0.0157747779752355	0.0082677959265981
mcaja_ahorro_dolares_delta1	0.00451447175113229	0.0139605151985896	0.0068763863682194
ccaja_ahorro_avg3	0.00450398525220172	0.0106679761124734	0.00560596894535189
internet	0.00442313069246259	0.0188498758232647	0.00865093768905021
foto_mes	0.00438730542823866	0.00548604783325226	0.00590844928412987
mrentabilidad_tend6	0.00435874930042252	0.00832908278635027	0.0160919540229885
mcomisiones_mantenimiento	0.00426097325021895	0.0168587292054942	0.0109296229078443
Visa_fultimo_cierre	0.00418323091035153	0.00388973048342452	0.0087719298245614
mcomisiones_sobre_edad	0.00414659034738246	0.00664219262761879	0.0132486388384755
mv_fultimo_cierre	0.00410366967694083	0.00674812790463647	0.00947771728171002
mdescubierto_preacordado	0.00408114899917355	0.00508896830975804	0.00225851986287558
