Feature	Gain	Cover	Frequency
rf_044_035	0.134637169802431	0.00324870035584254	0.000672947510094213
rf_019_044	0.0726120542774287	0.00963785108316762	0.00269179004037685
ctrx_quarter_normalizado	0.0661982532438831	0.00958085582625081	0.00201884253028264
rf_012_048	0.0657537250960701	0.00759759075835675	0.00201884253028264
rf_001_040	0.0494430609939827	0.0097461010675276	0.00201884253028264
ctrx_quarter_normalizado_rank	0.0449924604047318	0.00352535873037295	0.00201884253028264
rf_008_023	0.0291849098984627	0.00667831525535164	0.00471063257065949
cproductos_ratioavg6	0.0282698979978283	0.00360803992784272	0.00336473755047106
rf_034_041	0.0239042429712379	0.0114199926005747	0.00336473755047106
mdescubierto_preacordado_tend6	0.0222635351811714	0.000800774573156487	0.000672947510094213
rf_024_046	0.018840499705067	0.0141482963865827	0.00403768506056528
mcuentas_saldo	0.0173660438163278	0.00146193126875777	0.00269179004037685
mprestamos_personales_ratioavg6	0.0167707497962025	0.0136125233985153	0.00942126514131898
rf_027_044	0.0142964585628314	0.00370964144184293	0.00134589502018843
mv_status01	0.0114867531716998	0.00144570548647004	0.00134589502018843
total_comisiones_lag2	0.0108914182616822	0.00843638169506823	0.0114401076716016
ctarjeta_visa_trx_ratioavg6	0.0103739046662688	0.00776746356931127	0.0053835800807537
rf_016_039	0.010268753049241	0.00152507709296776	0.00134589502018843
rf_004_048	0.00978769018927541	0.014715935170912	0.00471063257065949
ctrx_quarter_ratiomax6	0.00938573185138883	0.00471019229836507	0.0053835800807537
mcomisiones_mantenimiento	0.00909272258791443	0.00429078218580149	0.00740242261103634
exp_totalcomisiones_lag2	0.00828799970056134	0.00868222865630138	0.0107671601615074
mpasivos_margen_por_ctrx_q	0.00819461023570259	0.00273899405773192	0.00403768506056528
rf_014_038	0.00812907078428488	0.000361829087333135	0.000672947510094213
ratio_totalcomisiones_antiguedad	0.00796434033888838	0.0104502238689341	0.0141318977119785
rf_047_043	0.00767321556973908	0.0143530517006143	0.0053835800807537
rf_045_027	0.00677616664883517	0.00134255168643869	0.00134589502018843
mprestamos_personales_ratiomax6	0.00658142964712928	0.00400797324397789	0.00336473755047106
cpayroll_trx	0.00635071076879748	0.0141137067676625	0.00672947510094213
ratio_totalcomisiones_antiguedad_lag1	0.0063156593400067	0.00733417074771451	0.00807537012113055
rf_031_044	0.00545163861334043	0.00797590922371874	0.00269179004037685
mpayroll_ratioavg6	0.00528186718438456	0.0092727709816938	0.00672947510094213
rf_050_029	0.00523938250017705	0.0237321396312331	0.00740242261103634
rf_040_043	0.00509155423907433	0.0072929619468502	0.00336473755047106
ratio_totalcomisiones_antiguedad_lag2	0.00490125802261437	0.00647599087982167	0.00942126514131898
mv_status07_rank	0.00482795174295972	0.000967220639476239	0.00134589502018843
foto_mes	0.00480199250422134	0.00656537912448256	0.01278600269179
Visa_fechaalta_tend6	0.00463442414842257	0.0137681327510328	0.0141318977119785
