experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8121HTb	20220712 014032	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0784058949693281	0.878750643871899	1919	14494	764	0.23997729222418	8398	13562000	1
8121HTb	20220712 014048	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.220092952605919	0.395140784533578	1346	10471	119	0.255902784408398	7874	13366000	2
8121HTb	20220712 014102	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.202242546345224	0.779034837185463	1501	4734	62	0.187958419567235	10648	14912000	3
8121HTb	20220712 014113	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.251879905356473	0.638373833427613	649	7275	66	0.236763291652558	8602	13478000	4
8121HTb	20220712 014220	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0927903488105221	0.536045523807115	592	19609	1469	0.184210864245422	9854	13906000	5
8121HTb	20220712 014247	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.127565125968395	0.330796796108189	269	12600	455	0.219259715631415	8928	13872000	6
8121HTb	20220712 014301	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.15590527724009	0.922849782997218	948	22915	276	0.210172061979207	10866	12654000	7
8121HTb	20220712 014331	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.145099931877921	0.212968038021063	1839	18684	620	0.241097702091149	8178	12822000	8
8121HTb	20220712 014424	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0444627080984355	0.570694294439454	406	11258	979	0.249796189099683	8022	13458000	9
8121HTb	20220712 014450	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0624839516257634	0.484658181651321	1228	1025	131	0.182161922657833	9702	15978000	10
8121HTb	20220712 014507	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.296153506138507	0.157188170614245	1602	8083	236	0.195596086536604	9512	13048000	11
8121HTb	20220712 014523	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.279403326304164	0.962158795689174	840	1668	114	0.146538967619987	9566	14074000	12
8121HTb	20220712 014544	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.232938619779889	0.666652709807386	23	23525	629	0.235160277370237	8322	11478000	13
8121HTb	20220712 014558	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0206824150297325	0.136202946104459	1108	20977	24	0.0943541075422764	11676	11124000	14
8121HTb	20220712 014620	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.107743214559014	0.322331851719355	218	3622	252	0.242737892357423	8124	14436000	15
8121HTb	20220712 014643	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.190453793847992	0.766152305078867	1650	16962	627	0.24671945593787	7938	13302000	16
8121HTb	20220712 014748	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0976378380635679	0.625718170661228	1467	1	666	3.05845787798288e-05	12154	14606000	17
8121HTb	20220712 015226	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0747763280655748	0.460324210735531	1919	8	563	0.00023641712931356	9668	16012000	18
8121HTb	20220712 015321	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0903298532473746	0.463391288750233	1152	7	355	0.000369553255360667	9124	14996000	19
8121HTb	20220712 015411	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0634951708956247	0.302232719933907	2024	5	215	0.000235971376405898	12550	14930000	20
8121HTb	20220712 015433	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0679218472251863	0.517246587115731	1982	900	115	0.172940308782767	10146	15774000	21
8121HTb	20220712 015507	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0671544910243613	0.46992688080508	1598	323	212	0.0804689850938413	10566	15834000	22
8121HTb	20220712 015527	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.070580288673708	0.489736770700777	1326	3346	136	0.186365228891914	10284	14916000	23
8121HTb	20220712 015657	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0550629642027748	0.486500893289983	1168	0	946	0.000210976510016753	8610	14790000	24
8121HTb	20220712 015756	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.110171196398377	0.66301749562816	1239	14	543	3.75203989354741e-05	13506	14334000	25
8121HTb	20220712 015818	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0690915717193457	0.45073881414731	1831	3514	175	0.201202920477259	9558	14922000	26
8121HTb	20220712 015920	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0632241977970782	0.639351278820502	1421	34	53	0.105346278706527	9588	15252000	27
8121HTb	20220712 020036	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0632022269283753	0.491723583443408	1315	0	696	8.18269922715318e-05	10386	15654000	28
8121HTb	20220712 020105	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0652261375857269	0.422645946753224	1113	457	85	0.159558698316537	10396	16484000	29
8121HTb	20220712 020150	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0649672283578775	0.383223936007024	955	460	508	0.0666987668551733	7658	14302000	30
8121HTb	20220712 020215	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0652661965715355	0.365882793359195	1169	968	200	0.183768832055572	9086	15754000	31
8121HTb	20220712 020256	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0660390679597711	0.503545169010682	1118	1858	539	0.134041924011851	10658	15262000	32
8121HTb	20220712 020322	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0639376807874946	0.428110861754933	1204	4130	169	0.199738021616016	9704	14536000	33
8121HTb	20220712 020348	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0658419603981285	0.418752629765782	218	1143	221	0.170149916880366	9834	14886000	34
8121HTb	20220712 020416	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.067759333577637	0.417820164417106	1779	2293	311	0.170447689735474	10230	15690000	35
8121HTb	20220712 020457	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0709012285310287	0.419566965384061	996	4410	663	0.206700972461321	8710	14450000	36
8121HTb	20220712 020517	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0846233736811706	0.422906991328465	1578	439	46	0.119233889918045	13742	14338000	37
8121HTb	20220712 020625	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0527171430424042	0.969354339546012	1346	79	191	0.0478195082910268	9014	15346000	38
8121HTb	20220712 020649	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.138663862866652	0.734236518382677	1075	20165	712	0.225381797904203	8486	12754000	39
8121HTb	20220712 020726	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109055187950795	0.718817888564453	1592	17047	1176	0.246984731376216	7892	13228000	40
8121HTb	20220712 020748	575	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.163259804510104	0.423446070845309	1328	14267	272	0.258293946116086	7846	13034000	41
