Feature	Gain	Cover	Frequency
rf_012_048	0.0452614300661386	0.00294245452145707	0.00047978889288713
ctrx_quarter	0.0452146188066494	0.00217919134042776	0.00179920834832674
rf_034_041	0.0358142057161037	0.00484117602341503	0.00131941945543961
mdescubierto_preacordado_tend6	0.0341049338874289	0.00283224961204984	0.000839630562552477
mcuentas_saldo_rank	0.0333107127944722	0.0050129416767323	0.00431810003598417
rf_027_044	0.0315371008092935	0.00384749992017699	0.000839630562552477
cproductos_sobre_ctrx_q_rank	0.0284467531820678	0.00209147659519614	0.0020391027947703
ctrx_quarter_ratioavg6	0.0269077513231286	0.00326992290365511	0.00395825836631882
ctarjeta_visa_trx_rank	0.0239892576925999	0.0057188616664984	0.00419815281276239
ctrx_quarter_normalizado	0.020201088153614	0.00111934882229112	0.000959577785774259
mtarjeta_visa_consumo_ratioavg6	0.0188836362779765	0.00305170207228802	0.00227899724121387
ctrx_quarter_normalizado_rank	0.0171197579540827	0.00259229932845695	0.00191915557154852
mcaja_ahorro_lag1	0.015503649656808	0.00168204796904658	0.00239894446443565
mpasivos_margen_por_ctrx_q	0.0137743930202344	0.00468082622425592	0.00359841669665347
mtarjeta_visa_consumo	0.0133605140071671	0.00253756429245017	0.00143936667866139
ctarjeta_visa_trx	0.013357906219577	0.00444573518230151	0.00395825836631882
rf_024_046	0.0132212379185066	0.00360016503826873	0.00107952500899604
rf_008_023	0.0121186095757891	0.00453645655095375	0.00143936667866139
cproductos_ratioavg6	0.0119145550300385	0.00513402424953049	0.00239894446443565
ratio_totalcomisiones_antiguedad_lag1	0.0108635375379566	0.0091114351410523	0.00923593618807725
mcaja_ahorro_avg6	0.0107192744395459	0.00185720836412621	0.00311862780376634
mcaja_ahorro_ratiomax6	0.0103433396416843	0.00199272893923687	0.00167926112510495
cpayroll_trx_lag1	0.0095720539359347	0.00140404138831897	0.000719683339330694
exp_totalcomisiones_lag2	0.00917776405858446	0.00813711320578868	0.0088760945184119
rf_044_049	0.00867468981589671	0.000631613439513542	0.000359841669665347
cpayroll_trx_rank	0.00803950121144249	0.00621904271076754	0.00323857502698813
rf_044_050	0.00771280007604482	0.00437460085262872	0.00107952500899604
mpasivos_margen_por_ctrx_q_rank	0.0077113150911779	0.00185413446685969	0.00131941945543961
rf_001_040	0.00765178842387918	0.00295957830269432	0.000959577785774259
mprestamos_personales_ratiomax6	0.00749300552864119	0.011280488830394	0.00395825836631882
mpayroll_rank	0.0071090345473322	0.0038552053629882	0.00335852225020991
Visa_mpagospesos_lag1	0.00706553795706756	0.00122307474284702	0.00131941945543961
mprestamos_personales_ratioavg6	0.00677869607855182	0.00810520987809824	0.00299868058054456
rf_014_038	0.00666594262957978	0.00187881361848267	0.000599736116108912
exp_totalcomisiones_rank	0.00662571599035014	0.00808654914822773	0.00863620007196833
rf_035_047	0.00617646107538256	0.00716462836400926	0.0020391027947703
log_totalcomisiones_lag2	0.00566329577656847	0.00717457454338006	0.00839630562552477
total_comisiones_lag1	0.00553598243372225	0.00783986630513357	0.00947583063452081
