Feature	Gain	Cover	Frequency
ctrx_quarter_rank	0.0634504200436728	0.0132562523625302	0.00635554748501907
rf_015_031	0.0569419523535283	0.00188542917288209	0.000907935355002724
rf_040_043	0.0558275440734331	0.0131739481286914	0.00453967677501362
ctrx_quarter_normalizado	0.0527502908032063	0.0147111948038504	0.00671872162702016
cproductos_sobre_ctrx_q_rank	0.0271343956930225	0.00343407320499849	0.0036317414200109
cproductos_sobre_ctrx_q	0.0267301438730829	0.00352435108382333	0.00254221899400763
rf_029_050	0.024928383744059	0.00251093234028868	0.000907935355002724
mcaja_ahorro	0.0244822809970085	0.00207278730563283	0.00236063192300708
mtarjeta_visa_consumo	0.0152543747016492	0.00382491695583894	0.00381332849101144
cpayroll_trx_rank	0.0151173261381025	0.0145093759929046	0.00889776647902669
mpasivos_margen_por_ctrx_q_rank	0.0149344092984603	0.00191052137772512	0.000907935355002724
ctrx_quarter_normalizado_rank	0.0133305214488	0.00754869926199636	0.00508443798801525
mpayroll_sobre_edad	0.0128242773961329	0.013583216855799	0.00453967677501362
cpayroll_trx	0.0127410291474485	0.00550172494267422	0.00345015434901035
mtarjeta_visa_consumo_rank	0.0120190338790767	0.0050917804829407	0.00490285091701471
cproductos_ratioavg6	0.0103790629240775	0.0052325581133437	0.00381332849101144
cproductos_sobre_ctrx_q_lag1	0.00876146748410552	0.00203809969750153	0.00308698020700926
mprestamos_personales_ratioavg6	0.0085078974827573	0.0130737595046862	0.00490285091701471
cpayroll_trx_ratiomax6	0.00744328948024084	0.0114234852856293	0.00435808970401307
ratio_totalcomisiones_antiguedad_lag1	0.00727809632683568	0.00574985396291733	0.00562919920101689
mpayroll	0.00676890785717468	0.00347358103919479	0.00290539313600872
mcuentas_saldo_ratioavg6	0.00660981646968143	0.0110244876944359	0.0085345923370256
ratio_totalcomisiones_antiguedad_lag2	0.00635298560048729	0.00695126152298692	0.00581078627201743
mpayroll_sobre_edad_rank	0.00623986110113841	0.00436541295890298	0.00326856727800981
cpayroll_trx_ratioavg6	0.0060806904888788	0.0062155688887113	0.00254221899400763
mprestamos_personales_ratiomax6	0.00569897942580916	0.00750549742277829	0.00308698020700926
ccomisiones_mantenimiento_rank	0.00565992179401195	0.0113933025616709	0.00581078627201743
rf_003_050	0.00445752195032841	0.000883723128196976	0.00036317414200109
exp_totalcomisiones_lag6	0.00444646928480968	0.00387676817266897	0.00308698020700926
rf_013_034	0.00443698242706161	0.000831061032215823	0.000544761213001634
mpayroll_rank	0.00431765554313816	0.00580089430059624	0.00399491556201198
ccomisiones_mantenimiento_avg6	0.00419902728716618	0.00913725656788462	0.00254221899400763
mcaja_ahorro_rank	0.00405239507903726	0.00335285014336118	0.00399491556201198
mcomisiones_mantenimiento_ratioavg6	0.00400056491570885	0.00203652298804102	0.0016342836390049
cproductos_sobre_ctrx_q_lag6	0.00395364545101933	0.00178636676992011	0.00217904485200654
total_comisiones_lag2	0.00382786982247943	0.00381437552687436	0.00345015434901035
rf_037_029	0.00380877035963448	0.000341605366830691	0.000544761213001634
rf_034_041	0.00374249178880589	0.000357913047536574	0.000544761213001634
mv_mpagominimo_rank	0.00371197824527087	0.000587572042670804	0.00127110949700381
cproductos_ratiomax6	0.00366503187658404	0.00236709138864812	0.00181587071000545
exp_totalcomisiones_lag2	0.0036146502783831	0.00668362635427517	0.00490285091701471
mpasivos_margen_por_ctrx_q	0.00353734339513439	0.00164311145322203	0.00326856727800981
ratio_totalcomisiones_antiguedad	0.00350288120602046	0.0047224700784467	0.00490285091701471
cproductos_sobre_edad	0.0034436091140414	0.00488788942527544	0.00544761213001634
thomebanking_rank	0.00328062615953445	0.00997800310107217	0.00562919920101689
ctarjeta_visa_trx_ratioavg6	0.0032803314022509	0.00296015939000985	0.00217904485200654
mcomisiones_mantenimiento_max6	0.00325416142126542	0.00235830686451097	0.00254221899400763
rf_009_032	0.00309882760827197	0.00275541240435174	0.00127110949700381
ccomisiones_mantenimiento_ratioavg6	0.00305854761448422	0.00222527763488535	0.0016342836390049
ctarjeta_visa_trx_ratiomax6	0.00296461899750808	0.00494208318187537	0.00472126384601416
total_deuda_acumulada_delta6	0.00294294479409827	0.0024479540595516	0.00127110949700381
mpasivos_margen_por_edad_rank	0.00294031642969293	0.00149530620350931	0.00199745778100599
Visa_cconsumos_delta6	0.0028620761227627	0.0105007048116533	0.00508443798801525
mpayroll_avg6	0.0027504551353406	0.00170437787797341	0.00199745778100599
ratio_totalcomisiones_antiguedad_rank	0.00268848887928674	0.0034679949828204	0.00326856727800981
total_comisiones_lag6	0.00263939922395778	0.00295831238749896	0.00236063192300708
Visa_status_max6	0.0026050695584107	0.00600807392370771	0.00145269656800436
Visa_mpagospesos_ratiomax6	0.00256947842206038	0.00437518855755816	0.0052660250590158
mcuentas_saldo_min6	0.00252396371665108	0.00308296253256299	0.00236063192300708
exp_totalcomisiones_lag1	0.00251955128929554	0.00328059180122793	0.00308698020700926
mcaja_ahorro_delta6	0.0024615467122269	0.00137056596076183	0.00254221899400763
cpagomiscuentas_ratioavg6	0.00242092527870544	0.0107313999301473	0.00399491556201198
mactivos_margen_por_ctrx_q_rank	0.00241499738194351	0.00364278448872876	0.00326856727800981
total_comisiones_lag1	0.00236909976444265	0.00288190955192665	0.00326856727800981
Master_fechaalta_rank	0.00231607750286991	0.00101067076418918	0.00217904485200654
mcomisiones_mantenimiento_rank	0.00220227331002103	0.00279347867561271	0.00254221899400763
mpasivos_margen_max6	0.00219854442877206	0.000625322972039671	0.00108952242600327
total_comisiones_rank	0.00210383515317578	0.00164473321152427	0.00181587071000545
total_deuda_acumulada_rank	0.00206888009506491	0.00237294773807288	0.00199745778100599
mactivos_margen_min6	0.00206334270435317	0.00245056689237188	0.00199745778100599
mv_status05_delta2	0.00204372671567074	0.00976312012602504	0.00236063192300708
mactivos_margen_sobre_edad	0.00202848769559804	0.00159684629276639	0.00145269656800436
Visa_msaldopesos	0.00199573350765182	0.00177897875987656	0.00181587071000545
mcuentas_saldo_delta6	0.00196208634726753	0.00202796370811252	0.0036317414200109
mactivos_margen	0.00192513204504703	0.0010684233792857	0.00145269656800436
mactivos_margen_sobre_edad_lag2	0.00192065421218916	0.00570759814937556	0.00236063192300708
mactivos_margen_por_antiguedad_rank	0.0019172886631323	0.00348732093592212	0.00272380606500817
mv_cconsumos_delta6	0.00189730547236518	0.00773398514802757	0.00508443798801525
rf_035_056	0.00189484938397372	0.000254525955768615	0.00036317414200109
ctrx_quarter_ratioavg6	0.00188845290280909	0.00172487510096009	0.00181587071000545
mrentabilidad_annual_sobre_ctrx_q_delta1	0.00188779617418964	0.00346389553822306	0.00399491556201198
mpasivos_margen_sobre_edad_rank	0.0018743753372778	0.000519007705559329	0.000544761213001634
cprestamos_personales_avg6	0.00187340340331411	0.00680890718312341	0.00217904485200654
mv_msaldototal	0.00186570124106153	0.00048607700225546	0.000907935355002724
chomebanking_trx_ratioavg6	0.00182669662291549	0.00410322870004044	0.00435808970401307
mcuenta_debitos_automaticos_rank	0.00181931889266674	0.00404547608494392	0.00399491556201198
rf_020_030	0.00179150217825905	0.00117726138090287	0.000907935355002724
cproductos_sobre_antiguedad_delta6	0.00178092017406789	0.00226645227622562	0.0036317414200109
mcuentas_saldo_ratiomax6	0.0017652285487171	0.00135137515418529	0.00254221899400763
exp_totalcomisiones	0.00175983868545525	0.00159797251380961	0.00217904485200654
ratio_deuda_acumulada_cproductos_sobre_ctrx_q_delta6	0.001666283133488	0.00227447097005338	0.0016342836390049
mv_msaldototal_rank	0.00166117407318515	0.00127073772749046	0.00199745778100599
mtransferencias_recibidas_lag1	0.00163566696871529	0.0027643771238558	0.00199745778100599
ctransferencias_recibidas_rank	0.00163446090859388	0.00216130827963023	0.00326856727800981
mcuentas_saldo_rank	0.00162325047940199	0.000426071945072488	0.000726348284002179
mactivos_margen_sobre_antiguedad_rank	0.00160918305413042	0.00236803741432442	0.00181587071000545
mactivos_margen_ratioavg6	0.00159923805491784	0.00233623293206378	0.00308698020700926
ctarjeta_master_trx_rank	0.00159292655898232	0.00252034754821003	0.00217904485200654
ccallcenter_trx	0.00159056955206004	0.00538576922406388	0.00199745778100599
mcomisiones_mantenimiento_ratiomax6	0.00158252280287344	0.000610592000794301	0.000907935355002724
mprestamos_personales_min6	0.00154717915316662	0.000644513778616207	0.000544761213001634
mrentabilidad_annual_sobre_edad_delta6	0.00154630138705119	0.00494969643612757	0.00272380606500817
total_deuda_acumulada_delta2	0.00152871415431936	0.00640472897513119	0.00217904485200654
Visa_msaldototal	0.0015196963610718	0.00307958386943332	0.0036317414200109
ratio_deuda_acumulada_antiguedad	0.00148175180290623	0.00203706357414177	0.00145269656800436
total_deuda_acumulada_lag1	0.0014366441565373	0.000506754420609052	0.000544761213001634
mv_status04	0.00142992366422985	0.00112477948028863	0.00108952242600327
cproductos_sobre_edad_rank	0.00142436059739229	0.00452421012599756	0.00472126384601416
ctrx_quarter_ratiomax6	0.0014142581425363	0.00232722316371799	0.00381332849101144
Master_Fvencimiento_ratioavg6	0.00141361480735683	0.00236429836046092	0.00308698020700926
ccallcenter_trx_rank	0.00140203782617354	0.00368098590651491	0.00290539313600872
cproductos_sobre_edad_delta6	0.00140143688853942	0.00143615707431919	0.00272380606500817
chomebanking_trx_delta2	0.00139389936356027	0.00535653252578179	0.00381332849101144
total_deuda_acumulada	0.0013930841481106	0.00374274786852532	0.00145269656800436
mcomisiones_mantenimiento	0.00138115723589977	0.00232145691197668	0.0016342836390049
mtarjeta_visa_debitos_automaticos_delta6	0.00137900198967125	0.004878654412721	0.00236063192300708
mcaja_ahorro_ratioavg6	0.00137059074373911	0.00152602951356846	0.00217904485200654
cliente_edad_lag6	0.00136974076110346	0.00155193259756261	0.00272380606500817
mrentabilidad_annual_exp_delta6	0.00135306705841314	0.00110869704379139	0.00145269656800436
ctransferencias_recibidas_ratiomax6	0.00135074232813817	0.00117000851738451	0.00254221899400763
mcaja_ahorro_dolares_ratioavg6	0.00134636808945707	0.00239128261665657	0.00308698020700926
cprestamos_personales_rank	0.0013194740577378	0.0022690651090459	0.00290539313600872
total_comisiones	0.001304316660283	0.00196980565344043	0.00217904485200654
mcuenta_corriente_rank	0.00130413665398832	0.00263022167318696	0.00290539313600872
numero_de_cliente	0.00130363602097942	0.00271221056513367	0.00308698020700926
mtransferencias_recibidas	0.00130084811121659	0.00158729593831985	0.00181587071000545
cproductos_rank	0.00130035585445288	0.00310035138547037	0.00381332849101144
mcomisiones_mantenimiento_delta6	0.00129564801590703	0.00233132260831532	0.0016342836390049
mrentabilidad_por_antiguedad_delta1	0.00129118540125705	0.00262179753978365	0.00308698020700926
ratio_deuda_acumulada_antiguedad_rank	0.00128080378611329	0.00139061269533121	0.00199745778100599
mcuenta_debitos_automaticos	0.00127978622691096	0.00343799245422891	0.00217904485200654
mv_Fvencimiento	0.00127288949713483	0.000954089418977608	0.0016342836390049
mcomisiones_por_ctrx_q_delta6	0.00126529777873529	0.00148341330929287	0.00236063192300708
mpayroll_ratioavg6	0.00125085971101418	0.00647622148695505	0.00399491556201198
ratio_totalcomisiones_ctrx_lag6	0.0012464258910112	0.0011858657096731	0.00199745778100599
mcaja_ahorro_max6	0.00124570732698264	0.00162729930977516	0.00145269656800436
rf_003_048	0.00124264598557347	0.000118343307221974	0.000181587071000545
mcaja_ahorro_lag6	0.00122796025854848	0.0012991184977797	0.00127110949700381
mcuenta_corriente_ratiomax6	0.00122763911360435	0.000899805564694214	0.00181587071000545
mrentabilidad_annual_por_edad_delta6	0.00122308044812058	0.00142791313628279	0.00254221899400763
cliente_edad_avg6	0.00121317884095085	0.00249349843853957	0.00272380606500817
mcaja_ahorro_min6	0.00121102982329163	0.0020679220307261	0.0016342836390049
cpagomiscuentas_ratiomax6	0.00120380620057169	0.00358827539023672	0.00290539313600872
Master_fechaalta_lag6	0.00119528034528654	0.00250827445862667	0.00381332849101144
mpayroll_delta6	0.00119321568204016	0.00429820008704337	0.00326856727800981
mrentabilidad_ratioavg6	0.00119264474201167	0.00158337668908943	0.00217904485200654
mvr_mpagominimo_lag2	0.00118950712807034	0.00246854138022173	0.00217904485200654
mpayroll_sobre_edad_delta6	0.00117928815177769	0.00427310788220034	0.00399491556201198
Master_Fvencimiento_avg6	0.0011769911464542	0.00144039166544171	0.00181587071000545
ccomisiones_otras_ratioavg6	0.00116417433820517	0.00162450628158797	0.00272380606500817
rf_041_040	0.00116084225336427	0.000277005327791365	0.000544761213001634
rf_026_027	0.00115581768270818	0.000380212224192408	0.000544761213001634
mrentabilidad_ratiomax6	0.00115448873495736	0.001681177724483	0.00272380606500817
Visa_mpagospesos_tend6	0.00115099433143151	0.00231393375540794	0.00272380606500817
mcaja_ahorro_dolares_delta2	0.00114478661431932	0.00108175783643748	0.00108952242600327
mtransferencias_recibidas_rank	0.00112862993912043	0.0017583463903647	0.00236063192300708
chomebanking_trx_ratiomax6	0.00112501574846731	0.00211882722187983	0.00345015434901035
mrentabilidad_annual_delta1	0.00111204382423677	0.000905887158327623	0.00236063192300708
mrentabilidad_annual_sobre_ctrx_q_delta2	0.00110847054362368	0.00147408819905497	0.00272380606500817
Visa_fechaalta	0.0011078221666813	0.00123366253074752	0.00181587071000545
ctrx_quarter_delta6	0.00110460996963748	0.00187047295742808	0.00236063192300708
mpasivos_margen_sobre_antiguedad_delta1	0.00110427186898278	0.0025749016955438	0.00272380606500817
ratio_deuda_acumulada_cproductos_sobre_ctrx_q_rank	0.00109179047709205	0.00131425490860063	0.00236063192300708
ctarjeta_visa_trx	0.00107861075590821	0.00266400830448368	0.00290539313600872
ratio_totalcomisiones_ctrx_delta6	0.00107465602211061	0.00155157220682878	0.00272380606500817
