experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTc	20220714 134021	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0784058949693281	0.878750643871899	1919	14494	752	0.20045629057455	10188	14412000	1
8122HTc	20220714 134033	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.220092952605919	0.395140784533578	1346	10471	128	0.172988818881653	11360	13840000	2
8122HTc	20220714 134052	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.202242546345224	0.779034837185463	1501	4734	90	0.189527796720706	9830	15490000	3
8122HTc	20220714 134107	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.251879905356473	0.638373833427613	649	7275	63	0.195717453312162	9962	13798000	4
8122HTc	20220714 134135	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0927903488105221	0.536045523807115	592	19609	693	0.225114525451744	9218	13942000	5
8122HTc	20220714 134204	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.127565125968395	0.330796796108189	269	12600	836	0.174925220438707	10826	15334000	6
8122HTc	20220714 134220	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.15590527724009	0.922849782997218	948	22915	247	0.176734211784832	13104	12216000	7
8122HTc	20220714 134234	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.145099931877921	0.212968038021063	1839	18684	331	0.204288817050292	10520	14200000	8
8122HTc	20220714 134325	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0444627080984355	0.570694294439454	406	11258	1240	0.190892502314831	10216	15104000	9
8122HTc	20220714 134352	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0624839516257634	0.484658181651321	1228	1025	166	0.164781011462309	10078	15842000	10
8122HTc	20220714 134404	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.296153506138507	0.157188170614245	1602	8083	261	0.175810691835211	10650	14310000	11
8122HTc	20220714 134424	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.279403326304164	0.962158795689174	840	1668	137	0.102972840507275	11678	14482000	12
8122HTc	20220714 134436	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.232938619779889	0.666652709807386	23	23525	92	0.178907925914058	13190	11890000	13
8122HTc	20220714 134522	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0206824150297325	0.136202946104459	1108	20977	2204	0.186904109398055	11358	13242000	14
8122HTc	20220714 134545	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.107743214559014	0.322331851719355	218	3622	462	0.163986465169723	10594	15446000	15
8122HTc	20220714 134610	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.190453793847992	0.766152305078867	1650	16962	589	0.236529278363406	8782	14258000	16
8122HTc	20220714 134630	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0496816343011012	0.323881471616745	2024	3720	291	0.183394596095018	10228	15452000	17
8122HTc	20220714 134653	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.12848271664059	0.747994228727913	1963	2041	130	0.194498532270723	9128	15952000	18
8122HTc	20220714 134709	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148470856453095	0.119521307417311	1896	1016	247	0.142582180140366	8312	14368000	19
8122HTc	20220714 134737	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.063862062526827	0.769039354689055	1280	3162	307	0.181158587896644	10060	15260000	20
8122HTc	20220714 134807	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111254882122577	0.561417796497811	1863	4573	501	0.168598580925501	10152	15168000	21
8122HTc	20220714 134916	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.165867463388203	0.781998375402007	2018	7	566	9.54609350302596e-05	10336	15224000	22
