experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTd	20220715 123651	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.188735447692598	0.766269015353464	1268	17943	186	0.195254952783271	9084	12636000	1
8122HTd	20220715 123719	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111718078931881	0.503235730183951	559	2904	161	0.240835245236101	6982	11738000	2
8122HTd	20220715 123742	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.078345818969392	0.348895675524545	712	8767	172	0.242188276341636	7418	12742000	3
8122HTd	20220715 123811	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.20997805973122	0.553869947155181	1702	23523	262	0.157162421447666	11168	13552000	4
8122HTd	20220715 123908	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0373046880903712	0.633520483896427	1520	10605	567	0.227663800250798	7818	12822000	5
8122HTd	20220715 123930	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.165704947749764	0.183392604945402	43	16565	495	0.210621581847585	8324	13396000	6
8122HTd	20220715 124016	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0260118203156162	0.226120306411758	1141	12524	1062	0.22558356920997	7856	12784000	7
8122HTd	20220715 124030	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.234260022340604	0.116489622044901	2009	14565	205	0.197394461362326	8766	12834000	8
8122HTd	20220715 124058	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.208667731566529	0.981302841735305	1016	3966	51	0.229917696481176	8288	12112000	9
8122HTd	20220715 124134	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0996162636450026	0.83268969245255	492	22494	409	0.152065909592992	11598	12642000	10
8122HTd	20220715 124153	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.25777871526283	0.314380641837488	794	11036	206	0.212724847804105	7988	12892000	11
8122HTd	20220715 124215	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.13179383675204	0.477464014969883	158	5580	110	0.193604237887671	9340	13340000	12
8122HTd	20220715 124237	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.264612576309737	0.910819048140547	362	19517	147	0.199702784585454	9374	12826000	13
8122HTd	20220715 124316	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.282764851198881	0.693691064740415	1883	7142	316	0.186055594651292	8662	12578000	14
8122HTd	20220715 124450	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0501501743294648	0.793554701494577	1589	1024	413	0.127267269315857	8628	14052000	15
8122HTd	20220715 124514	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.137772902764991	0.40794904360082	1359	21481	255	0.153288178592025	11544	12696000	16
8122HTd	20220715 124611	785	96807	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0815171711671892	0.839923234144144	1618	267	41	0.200820196123149	8004	13476000	17
