Feature	Gain	Cover	Frequency
rf_029_050	0.17516728197403	0.0119796173280955	0.00453547915142648
rf_026_027	0.0989516330750811	0.00196131733310249	0.000585223116313094
mcaja_ahorro_rank	0.0415354003230153	0.00398285957213286	0.00351133869787857
rf_040_043	0.0414677515436995	0.00787957818600469	0.00204828090709583
rf_012_036	0.0318595654687462	0.0097560495438533	0.00512070226773958
cpayroll_trx	0.0217736592859918	0.011874551586521	0.0049743964886613
mprestamos_personales_ratioavg6	0.0154985082134224	0.0112753514745754	0.00468178493050476
rf_015_031	0.0150271227517131	0.000586463380343484	0.000585223116313094
mpasivos_margen_por_ctrx_q	0.0146230384278906	0.00172820399962386	0.00234089246525238
mprestamos_personales_ratiomax6	0.0142832807144773	0.00256630388810534	0.00234089246525238
mv_status04_delta6	0.0137589635618195	0.000753565364836915	0.000146305779078274
rf_032_036	0.0132653487399484	0.00413630686238625	0.00146305779078274
ratio_totalcomisiones_antiguedad	0.0123526195270875	0.0143745736545067	0.0124359912216533
mdescubierto_preacordado_tend6	0.0122802071372512	0.0020253124427221	0.00146305779078274
cproductos_ratioavg6	0.010813130094537	0.0022486806192671	0.00190197512801756
rf_022_038	0.0105620539844093	0.000439745084070338	0.000438917337234821
rf_026_036	0.0105293179887283	0.00653295158436376	0.00204828090709583
total_comisiones_lag6	0.00974396056246382	0.00462095015476809	0.00687637161667886
mcuenta_corriente_delta6	0.00935818916471509	0.00482445919317166	0.00351133869787857
mv_status04	0.00922345743813197	0.000476578334919537	0.000585223116313094
exp_totalcomisiones_lag6	0.00903552566760445	0.00838159719974842	0.00877834674469642
rf_009_022	0.00708294956869991	0.000545318983533742	0.000438917337234821
rf_014_039	0.00700738881976339	0.00793439366924444	0.00146305779078274
rf_039_033	0.00680099283210201	0.000321049236540719	0.000292611558156547
cproductos_ratiomax6	0.00577060781161069	0.0031637172513448	0.00248719824433065
mdescubierto_preacordado	0.00570860171912234	0.000377446566112001	0.000585223116313094
mtarjeta_visa_consumo	0.0055198557391891	0.0018055915284441	0.00146305779078274
foto_mes	0.00494827370435773	0.00945114661442716	0.00409656181419166
mcomisiones_mantenimiento	0.00473206032538809	0.00188906875583598	0.00321872713972202
total_deuda_acumulada	0.00472424757252395	0.00741568740611732	0.00321872713972202
mcomisiones_mantenimiento_avg6	0.00451411857165412	0.00423775812607369	0.00409656181419166
mcuentas_saldo	0.00448307658978133	0.00203030386456615	0.00263350402340892
cpayroll_trx_rank	0.00444552537708961	0.00520111893416538	0.00248719824433065
exp_totalcomisiones	0.0043559563702519	0.0066284360909043	0.00585223116313094
mpayroll_sobre_edad	0.0041511984263375	0.00569045039287695	0.00248719824433065
ratio_totalcomisiones_antiguedad_lag1	0.00412636883979021	0.00986780329893315	0.00512070226773958
mcaja_ahorro_dolares_delta1	0.0041135603235834	0.0084362159767086	0.00424286759326993
