experimento	fecha	cols	rows	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTe	20220717 160217	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.195175862828037	0.63351666491144	1283	24838	6.52247450809227	146.880529343616	7.38464112015208	0.74214956391952	1	0.061291827767194	159388	-120508000	1
8122HTe	20220717 160231	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.140951758324081	0.674383320328343	1427	16659	2.65901747370663	77.5963028223487	10.8852760055743	0.722438487876207	138	0.172520946431987	12628	13412000	2
8122HTe	20220717 160240	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.222517912151452	0.460366320877074	1068	21744	5.25327958930575	91.1781390430406	18.2391874337918	0.435534883133369	71	0.222714715858646	10138	13262000	3
8122HTe	20220717 160245	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.150933999852641	0.870476412179414	1583	38350	3.57053106599778	120.858627198322	4.85627231260878	0.58674140063813	1	0.061291827767194	159388	-120508000	4
8122HTe	20220717 160256	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.259228203339808	0.595782632695045	1122	8839	2.86685184903035	84.8048412299249	9.87872015073663	0.868179684889037	51	0.207796257389498	9214	14066000	5
8122HTe	20220717 160306	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.228100146304132	0.497518767859583	995	12988	5.32374324917328	0.248808550531976	8.13454900897341	0.34049410893349	89	0.221678118651853	9536	12664000	6
8122HTe	20220717 160313	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0517163099098252	0.526345460592711	1249	47297	5.92716107108572	129.756547459692	15.428185078199	0.949483678274555	1	0.061291827767194	159388	-120508000	7
8122HTe	20220717 160319	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.268146174166613	0.401556703953975	1468	39713	7.17625917015539	187.159827421419	3.98071628165781	0.271924297092482	1	0.061291827767194	159388	-120508000	8
8122HTe	20220717 160324	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.16118160279555	0.657350730265171	1945	31137	1.58316495086183	139.11141178105	19.9009629197826	0.533628991304431	1	0.061291827767194	159388	-120508000	9
8122HTe	20220717 160330	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.282400027982076	0.310376689110126	1848	25095	8.01717759211897	113.244996129652	14.346475557104	0.640183541888837	1	0.061291827767194	159388	-120508000	10
8122HTe	20220717 160343	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.121599951215248	0.779097395500139	433	4518	0.531040868081618	73.1148912309436	11.7778344781254	0.616513811779441	73	0.17699859047775	10570	14870000	11
8122HTe	20220717 160349	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0564172361252713	0.171712645775551	364	41510	8.87024513212964	188.691892588395	9.27536397284712	0.952884935960174	1	0.061291827767194	159388	-120508000	12
8122HTe	20220717 160354	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.211189480807079	0.927071246452397	712	36085	1.29326242044044	20.8515718579292	6.49964341893792	0.902014326822246	1	0.061291827767194	159388	-120508000	13
8122HTe	20220717 160413	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115177401180117	0.572759045318526	1789	15035	8.22021191830572	99.4793414633023	2.28210812012549	0.684822750563035	409	0.221742917999631	9834	13326000	14
8122HTe	20220717 160419	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171038820512913	0.471883764321683	1604	28023	0.99934816986206	178.601019864436	1.41250581131317	0.557499874336645	1	0.061291827767194	159388	-120508000	15
8122HTe	20220717 160424	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.12925191710674	0.944435151891957	504	32057	9.38652642238594	36.5355338770314	16.881751659821	0.350276427721838	1	0.061291827767194	159388	-120508000	16
8122HTe	20220717 160439	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319152192874753	0.127961530433822	183	18120	6.79408804840932	170.587664195045	17.5936230939988	0.29090484828339	528	0.221856405922608	9756	12564000	17
