Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_rank	0.230595104678139	0.010136989139339	0.00421432871763998
ctrx_quarter_normalizado	0.0831951059111258	0.00332448350044414	0.00200682319887618
rf_029_050	0.0529670430773186	0.00241389283938964	0.000802729279550472
cpayroll_trx	0.0334424481387884	0.00805154169124897	0.00401364639775236
rf_008_046	0.0330632689105725	0.00248326361360828	0.00100341159943809
mtarjeta_visa_consumo	0.0277190186447924	0.00420669798461716	0.00200682319887618
rf_012_036	0.0195755503471345	0.00241389283938964	0.000802729279550472
rf_040_043	0.0191922584448822	0.00364613717657113	0.00140477623921333
rf_034_041	0.0142634011142664	0.000302072526087821	0.000602046959662854
mtarjeta_visa_consumo_rank	0.0136598137950768	0.00247520150566951	0.0022075055187638
rf_015_031	0.0127123509326951	0.000296673356831853	0.000802729279550472
rf_026_036	0.0123420376654581	0.00369822327998164	0.00160545855910094
mprestamos_personales_ratioavg6	0.0113151478487426	0.0078462877523168	0.00441501103752759
mprestamos_personales_ratiomax6	0.0112631503547692	0.00576733885183807	0.00361228175797712
rf_037_029	0.0110928737654367	0.00039528759530114	0.000802729279550472
mpayroll_sobre_edad_rank	0.00911931176181377	0.00125115364489244	0.00240818783865142
exp_totalcomisiones_lag6	0.00803692915462801	0.00708699598357998	0.00862933975516757
rf_003_048	0.0078079314088701	0.000163074456034308	0.000401364639775236
ratio_totalcomisiones_antiguedad	0.00748367151842659	0.0127503825042681	0.0104354806341561
mdescubierto_preacordado_tend6	0.00743742877806966	0.0108625177772534	0.00361228175797712
mcuentas_saldo_ratioavg6	0.00651496599342207	0.0108045316766695	0.0102347983142685
cproductos_ratiomax6	0.00647940192330145	0.00245563257094539	0.00240818783865142
exp_totalcomisiones_lag2	0.00637163539037598	0.0150235549141809	0.00943206903471804
mv_status01	0.00633781710327292	0.000616543596960273	0.000802729279550472
ratio_totalcomisiones_antiguedad_rank	0.00599131610302551	0.0133297671128196	0.0100341159943809
ratio_totalcomisiones_antiguedad_lag1	0.00588400085626575	0.00722541993382573	0.00521774031707807
