experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTf	20220718 212842	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151324393754621	0.309784632135415	1050	7487	181	0.16042095565379	12424	14816000	1
8122HTf	20220718 212917	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.121002857986168	0.535596329640248	33	12061	621	0.186425227560716	10398	14562000	2
8122HTf	20220718 212951	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0606290881884343	0.74313040975976	1626	9991	456	0.192250699506877	10614	14346000	3
8122HTf	20220718 213009	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.179675798390672	0.642815984666231	1326	18684	189	0.193181390737019	11384	13696000	4
8122HTf	20220718 213037	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0994913190379157	0.464858769840794	720	15760	508	0.203889826838765	10136	13744000	5
8122HTf	20220718 213133	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.167137014933687	0.87830760681536	948	20942	1348	0.190575847271264	10560	14400000	6
8122HTf	20220718 213154	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0791963786966517	0.120773099102371	1262	8371	588	0.203043800575816	9860	14740000	7
8122HTf	20220718 213209	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.250976506720472	0.791939769496093	1969	14312	103	0.169012626253307	12140	13660000	8
8122HTf	20220718 213303	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.240380698297085	0.227324613452947	505	62	146	0.000615869726993233	9922	16118000	9
8122HTf	20220718 213351	785	65905	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.293236842327024	0.892184740974335	800	3261	567	0.0689564189055836	10508	14452000	10
