Feature	Gain	Cover	Frequency
mpasivos_margen_max6	0.108411543035737	0.00297226054888455	0.00325162581290645
rf_013_025	0.045419481771358	0.000858915951311437	0.000100050025012506
mcaja_ahorro	0.0410949690982988	0.00293231693562498	0.00298482574620644
mprestamos_personales_ratiomax6	0.0326901412884196	0.0101674754820798	0.00103385025846256
rf_029_050	0.0236849148283417	0.00115431308065132	0.00016675004168751
mv_status04	0.0235248919417583	0.000118246374575738	0.000183425045856261
cpayroll_trx_rank	0.0183623066936316	0.00379539022182611	0.00348507587126897
rf_012_036	0.0183490268095053	0.00095304827451249	0.00031682507920627
mdescubierto_preacordado_delta2	0.0130128525780812	0.00438803302324268	0.000283475070868768
total_comisiones	0.0102407451317168	0.00383095769309653	0.0024178756044689
rf_039_033	0.00885780188282967	0.000404959125588884	0.000466900116725029
rf_015_031	0.00882378048643756	0.000921660773348945	0.000516925129231282
ccomisiones_mantenimiento_ratioavg6	0.00842588516892316	0.00257239434716235	0.00141737535434384
Visa_msaldopesos	0.00785550228739172	0.00149411296103627	0.00133400033350008
cpayroll_trx_ratioavg6	0.00679883665441844	0.00285729628080067	0.000733700183425046
ratio_totalcomisiones_antiguedad_lag2	0.00654728541497915	0.00419074447025605	0.00175087543771886
mpayroll_sobre_edad_lag6	0.00602818260028373	0.0016748249899709	0.000717025179256295
rf_013_034	0.00566769640208677	0.000409508804243119	0.000150075037518759
total_comisiones_lag2	0.00560943421588844	0.00207952003802596	0.00181757545439386
rf_040_043	0.00541235146479461	0.00166722710206905	0.00031682507920627
mv_mpagospesos	0.00517340239176021	0.000565940790210371	0.000833750208437552
mrentabilidad_sobre_antiguedad_delta6	0.00499322147194257	0.000912825493574303	0.00143405035851259
cpayroll_trx	0.00476470533673857	0.0021258015120974	0.00031682507920627
cliente_edad_lag2	0.00474849307461649	0.00388371283928295	0.00368517592129398
mcuentas_saldo_tend6	0.0046722023619841	0.0022289124714486	0.00271802567950642
mactivos_margen_por_edad_lag1	0.00461816774930518	0.00107451639500093	0.00201767550441888
ratio_totalcomisiones_antiguedad	0.0040973977615006	0.00536627429448235	0.00268467567116892
total_comisiones_rank	0.00397219713156563	0.00409837769399545	0.00240120060030015
exp_totalcomisiones_rank	0.0037241808117897	0.00416466115498625	0.00136735034183759
mcuenta_corriente_lag1	0.00363938099988164	0.00165209168684452	0.00201767550441888
mtarjeta_visa_debitos_automaticos_delta6	0.00337692127161009	0.00217042307024192	0.00138402534600634
cproductos_sobre_edad	0.00330153460337736	0.0035296452269989	0.00330165082541271
ratio_totalcomisiones_antiguedad_lag1	0.0032063383178782	0.00474908737256458	0.00213440053360013
mrentabilidad_annual_sobre_ctrx_q_lag6	0.00297329878492383	0.00223191541026184	0.00388527597131899
