experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTg	20220721 143634	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0217941198222979	0.5326392465955	1729	1707	595	0.192750112460247	9022	16658000	1
8122HTg	20220721 143701	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0462229228630895	0.263967102518654	1214	1289	466	0.161051577098554	9560	16240000	2
8122HTg	20220721 143737	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0431452666112455	0.477241576214146	1353	692	379	0.139073763485507	9172	16148000	3
8122HTg	20220721 143800	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0517034319580125	0.399096574126452	586	956	236	0.22312153511963	7492	15188000	4
8122HTg	20220721 143850	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0242741980707797	0.342247513226175	535	2240	816	0.178904875587519	9968	16672000	5
8122HTg	20220721 143917	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0302698493048956	0.228220442282327	244	1510	555	0.181202290941675	9334	16226000	6
8122HTg	20220721 143954	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0351560822827741	0.557138768331788	855	2584	552	0.203688137905176	8880	15480000	7
8122HTg	20220721 144020	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0332930917030899	0.162760021122813	1658	2143	671	0.176422044906585	9816	16344000	8
8122HTg	20220721 144111	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0159418462238682	0.361496830244141	368	1371	922	0.186090538054487	9198	16482000	9
8122HTg	20220721 144201	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0190489571768558	0.313698989806289	1107	306	394	0.200822531455806	7428	16092000	10
8122HTg	20220721 144225	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0593368114031909	0.131771205896803	1444	1040	544	0.12507765298342	9426	15894000	11
8122HTg	20220721 144255	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0564488493627869	0.578977108716208	758	373	136	0.192271410053797	7892	15628000	12
8122HTg	20220721 144320	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.048437693065498	0.414807061004103	22	2647	388	0.164593472126625	10908	15732000	13
8122HTg	20220721 144348	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0118417956947815	0.12011274783581	999	2382	660	0.193332529912895	9646	16034000	14
8122HTg	20220721 144415	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0268522783722437	0.223517695399642	197	576	383	0.173634375433149	8896	16304000	15
8122HTg	20220721 144448	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0411127230772399	0.470084613932704	1487	1964	482	0.165535989324023	10434	16326000	16
8122HTg	20220721 144518	785	49403	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.021661759167447	0.265053692622517	441	2211	566	0.205385887473074	8824	16256000	17
