Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_rank	0.110616275990413	0.00728619798184386	0.00366655136630924
ctrx_quarter_normalizado	0.0641394301210609	0.00539198393478013	0.00318228986509858
rf_015_031	0.0626220233103867	0.000918655214087835	0.000553441715669319
ctrx_quarter_rank	0.0495951312997537	0.00453566397709295	0.00290556900726392
rf_029_050	0.0348900056354031	0.00267090147565311	0.000899342787962643
rf_037_029	0.023602389507143	0.000455696019450951	0.000760982359045313
cpayroll_trx	0.0216370858853296	0.00893375795828703	0.00456589415427188
rf_040_043	0.0187502814756968	0.00639909349695966	0.00297474922172259
rf_008_046	0.0178144124000628	0.00196053250430696	0.000899342787962643
rf_012_036	0.0173996272630982	0.00389754365660283	0.00131442407471463
rf_026_036	0.0163989310886552	0.00635691565088354	0.00214458664821861
mtarjeta_visa_consumo	0.0147643698806094	0.00385934901136929	0.00311310965063992
mprestamos_personales_ratiomax6	0.0101808824013074	0.00558478869862116	0.00318228986509858
mprestamos_personales_ratioavg6	0.01012883599652	0.00570502993406921	0.00318228986509858
rf_026_027	0.00915632225169444	0.000434940341806179	0.000899342787962643
mdescubierto_preacordado_delta2	0.00906990929565347	0.0119261861348914	0.00318228986509858
cpayroll_trx_ratiomax6	0.00831875812829412	0.00703112618506851	0.00345901072293324
cproductos_ratiomax6	0.00807728277516007	0.00397682457245101	0.00345901072293324
mpasivos_margen_por_ctrx_q	0.00768261799949786	0.00181954608713204	0.00186786579038395
mpayroll_sobre_edad_rank	0.00731844534791824	0.00241229255454588	0.00318228986509858
cproductos_ratioavg6	0.00656303752744546	0.00162504623255036	0.00152196471809063
ratio_totalcomisiones_antiguedad	0.0063591283724601	0.00867084046288237	0.00760982359045313
ratio_totalcomisiones_antiguedad_rank	0.00629286193731047	0.00874168790869891	0.00691802144586648
mtarjeta_visa_consumo_rank	0.00606626466216098	0.00392105976065497	0.00338983050847458
rf_034_041	0.00547899514669144	0.000142555556900782	0.000345901072293324
exp_totalcomisiones_lag2	0.00538658128014333	0.00894091617429397	0.00643375994465583
mv_status01	0.00528776552289472	0.000540607995251815	0.000622621930127983
cproductos_sobre_edad_delta6	0.00505183784493419	0.00671174065136858	0.00518851608439986
exp_totalcomisiones_lag6	0.0048425647476546	0.00357408045879924	0.00484261501210654
ratio_totalcomisiones_antiguedad_lag2	0.00479087196998311	0.00303346721558848	0.00387409200968523
mcuentas_saldo_ratioavg6	0.0038678154276563	0.00609857437568273	0.00560359737115185
ratio_totalcomisiones_antiguedad_lag1	0.00381620179045765	0.00668098761192525	0.00498097544102387
Visa_status_max6	0.00375004725127794	0.00942163446201554	0.0025596679349706
rf_003_048	0.00374005917665872	0.000151309152428337	0.000276720857834659
mcaja_ahorro_rank	0.00368000078016534	0.00130890393748115	0.00193704600484262
rf_003_050	0.00360865371675207	0.000448506315690309	0.000484261501210654
cproductos_sobre_antiguedad_delta6	0.00355804585422645	0.00762234549642808	0.00760982359045313
total_comisiones_lag6	0.0034364884053444	0.00220347101999136	0.00318228986509858
mpayroll_sobre_edad	0.00341513190396033	0.00406758277452148	0.00186786579038395
mpayroll_min6	0.003303775943073	0.00654914313924014	0.00449671393981321
mcuentas_saldo	0.00320898665165334	0.00185472315596969	0.00297474922172259
mv_status04	0.00319639701981694	0.000369949618177137	0.000415081286751989
mcuentas_saldo_delta6	0.00308993709412223	0.00405128786198368	0.00588031822898651
total_comisiones_lag2	0.00307093183779156	0.00228617360507454	0.00359737115185057
rf_039_033	0.00303329864816364	0.000294305537880867	0.000484261501210654
mcomisiones_mantenimiento	0.00283262117342029	0.00262433108793637	0.00269802836388793
rf_032_036	0.00267667011759544	0.00164768067949901	0.000622621930127983
mdescubierto_preacordado	0.00264488080722436	0.000991003576163899	0.000760982359045313
mcuentas_saldo_min6	0.00261217785934061	0.0102108750084118	0.00505015565548253
mcaja_ahorro_dolares_ratioavg6	0.00260508884511681	0.00513100818418673	0.00442753372535455
mcomisiones_mantenimiento_rank	0.0025918639575734	0.00385511390849714	0.00387409200968523
mcomisiones_otras_max6	0.00244822100492755	0.000726406733895435	0.00145278450363196
cpayroll_trx_rank	0.00244646233157726	0.00378488047387768	0.00290556900726392
mprestamos_personales_max6	0.00243425753069707	0.00162744454979022	0.000760982359045313
ccomisiones_mantenimiento_ratioavg6	0.00239199607956766	0.00288594708952159	0.00214458664821861
mtarjeta_visa_debitos_automaticos_tend6	0.00232729374247952	0.00529357945652043	0.00366655136630924
mcaja_ahorro_dolares_delta1	0.00226615405900616	0.00463943711735787	0.00325147007955725
total_deuda_acumulada	0.0022581544082676	0.0038697557139659	0.00166032514700796
mcaja_ahorro_ratioavg6	0.0022358129420666	0.00193617672682292	0.00276720857834659
exp_totalcomisiones_lag1	0.00222206243930416	0.0026684559267827	0.0037357315807679
exp_totalcomisiones	0.00218123315634937	0.00468661102035378	0.00463507436873054
ratio_totalcomisiones_ctrx_lag6	0.00213803151487855	0.0019279269353545	0.00366655136630924
mplazo_fijo_dolares_rank	0.00208938836146177	0.0130688189889796	0.00484261501210654
cproductos_rank	0.00206925583618339	0.00264704425426926	0.00532687651331719
mpayroll_ratioavg6	0.00200161509989972	0.00400162642644575	0.00172950536146662
mrentabilidad_annual_exp_delta6	0.00196738498901472	0.00329327791929511	0.00359737115185057
ccaja_ahorro_rank	0.00188599801847064	0.00236889193403456	0.00332065029401591
ratio_totalcomisiones_ctrx	0.00187753678977777	0.00425958984860221	0.00498097544102387
mcaja_ahorro_delta2	0.00185542583203268	0.00123174319704851	0.00207540643375995
thomebanking	0.00183838278758002	0.00156977997685451	0.00200622621930128
mv_mpagominimo	0.00182010854882401	0.00111490263899966	0.00159114493254929
mrentabilidad_annual_sobre_ctrx_q_delta1	0.00180541859499532	0.0031183004720051	0.00463507436873054
mcomisiones_sobre_antiguedad	0.0017985934964521	0.00432152101216377	0.00276720857834659
ccomisiones_mantenimiento_rank	0.00177287166106606	0.000662486593892065	0.00152196471809063
mpayroll_rank	0.00173370176520889	0.00101374823025048	0.00179868557592529
total_comisiones_lag1	0.00173270509367266	0.00226903901910483	0.00304392943618125
mdescubierto_preacordado_rank	0.00172997354210394	0.00101553253629327	0.00166032514700796
mcomisiones_sobre_antiguedad_rank	0.00171495090907961	0.0028976080543071	0.0023521272915946
Master_fechaalta_rank	0.00171405018413693	0.00184657832368026	0.00124524386025597
mrentabilidad_sobre_ctrx_q	0.00170018897220556	0.00199314332121837	0.00352819093739191
tcallcenter_tend6	0.00170015213823429	0.00313314694787288	0.00172950536146662
mcomisiones_mantenimiento_max6	0.00169296034922277	0.00233265477748914	0.00249048772051193
mrentabilidad_annual_sobre_antiguedad_delta6	0.00166199154563262	0.00277634871482287	0.00366655136630924
mrentabilidad_annual_sobre_antiguedad_lag6	0.00157008802790981	0.001984888281791	0.00311310965063992
ccaja_ahorro	0.00155773653444142	0.00622024305596501	0.00214458664821861
rf_015_048	0.00152837292895825	0.000135161182741115	0.000276720857834659
mcomisiones_mantenimiento_ratioavg6	0.0015133747223696	0.0017859224141434	0.00214458664821861
cpagomiscuentas_ratioavg6	0.00149847161542956	0.00725724499232016	0.00366655136630924
mprestamos_personales	0.00148160386218928	0.00220494044849718	0.000899342787962643
ccallcenter_trx_ratioavg6	0.00142579563519028	0.00230800511430393	0.00152196471809063
mcuentas_saldo_rank	0.00141098665653372	0.00152425918092764	0.00186786579038395
cproductos_sobre_edad_lag6	0.00140018211791971	0.00357780126169435	0.00560359737115185
thomebanking_ratioavg6	0.00139233039369619	0.00526134124469443	0.0025596679349706
ratio_total_mcaja_ahorro_ctrx_q	0.00136208643461477	0.00233019348474188	0.00359737115185057
mcaja_ahorro_dolares_ratiomax6	0.00136026950809151	0.00350511178228658	0.00200622621930128
mcomisiones_max6	0.00134976745472424	0.000519810333935447	0.00103770321687997
cliente_edad_min6	0.00132550867379665	0.00251491639180088	0.0023521272915946
mcuenta_corriente_lag2	0.00132406897812745	0.00513770457980613	0.00338983050847458
ccomisiones_mantenimiento_avg6	0.00132405052285428	0.00570414827696572	0.00172950536146662
mcomisiones_sobre_antiguedad_lag6	0.0013024255614403	0.00473864978129577	0.00387409200968523
ccajas_consultas_ratioavg6	0.00128848410778203	0.00483777322993154	0.00228294707713594
mrentabilidad_annual_exp_lag6	0.00125338491423649	0.00193226699740564	0.00283638879280526
ratio_total_mcaja_ahorro_ctrx_q_delta1	0.0012531688856294	0.00210347116221105	0.00332065029401591
cproductos_sobre_edad	0.00123464166728853	0.0041771811492202	0.00401245243860256
ctarjeta_visa_trx_ratioavg6	0.00122676564629761	0.000942612146691725	0.00186786579038395
ccajas_consultas_tend6	0.00122503587950146	0.00917670696988933	0.00269802836388793
cliente_edad_lag6	0.00122373185517465	0.00246989415197421	0.00338983050847458
mcuenta_corriente_lag6	0.00121900194643667	0.00597390911084036	0.00338983050847458
mactivos_margen_ratioavg6	0.00120591909025955	0.00162241700511672	0.00283638879280526
chomebanking_trx_max6	0.0012042049988238	0.00512402839878407	0.00366655136630924
mcuenta_debitos_automaticos_rank	0.00120254666370663	0.00268815676467865	0.00283638879280526
mpasivos_margen_max6	0.00120220438739151	0.00113582625133081	0.00166032514700796
mv_Fvencimiento_lag2	0.00119692649445784	0.00327467390481958	0.00325147007955725
Visa_mpagospesos_ratiomax6	0.00118411992474561	0.00439891266279018	0.00325147007955725
ctransferencias_recibidas_ratiomax6	0.00117840218077988	0.00207333738192374	0.00325147007955725
total_mcaja_ahorro_lag1	0.00117595641892487	0.00207962443674509	0.00297474922172259
total_comisiones	0.00115927226945982	0.00265146303570463	0.0025596679349706
mcuentas_saldo_ratiomax6	0.00114240202464213	0.00332534294847579	0.00484261501210654
rf_041_040	0.00113107472283055	0.00106541963406602	0.000553441715669319
mactivos_margen_por_ctrx_q_delta6	0.00113018950999679	0.00334723218525362	0.0025596679349706
cliente_edad_rank	0.00112195771081218	0.00269918797439023	0.00283638879280526
ratio_totalcomisiones_antiguedad_lag6	0.00111610436372668	0.00100005630535157	0.00200622621930128
mprestamos_personales_avg6	0.00111328889276717	0.000394079733426357	0.000484261501210654
chomebanking_trx_delta1	0.001105867110318	0.00478546682308313	0.00345901072293324
mpasivos_margen_tend6	0.00110367265659659	0.00349416453991818	0.0023521272915946
rf_030_046	0.00110219100942165	0.00029151887167875	0.000553441715669319
Visa_mpagospesos_max6	0.00109828962881356	0.00344048316782504	0.0051193358699412
total_deuda_acumulada_lag1	0.00109683504768353	0.000474515200243405	0.000345901072293324
mcaja_ahorro	0.00107984799819138	0.00275460642089562	0.00207540643375995
Master_mpagospesos_tend6	0.0010788262174191	0.00577449191872312	0.00249048772051193
ratio_totalcomisiones_antiguedad_delta1	0.00106437266806494	0.00101733258621291	0.0013836042891733
ratio_total_mcaja_ahorro_antiguedad_lag6	0.00105949270230482	0.00237229785939271	0.00283638879280526
mcomisiones_sobre_edad	0.0010545248180127	0.00207996030611785	0.00172950536146662
ratio_total_mcaja_ahorro_ctrx_q_lag6	0.00104801098956697	0.00171446620508873	0.00338983050847458
ratio_totalcomisiones_ctrx_rank	0.00104383269449369	0.00324965688450792	0.00352819093739191
mpasivos_margen_por_edad	0.00103336352959718	0.00143946790818261	0.000968523002421307
tcallcenter_ratioavg6	0.00103162072348898	0.00219789768758713	0.00145278450363196
cliente_edad_lag2	0.00102256828561354	0.00239324246355966	0.00242130750605327
mrentabilidad_annual_sobre_ctrx_q_delta6	0.00101666533575663	0.00102083822279109	0.0025596679349706
mcuenta_corriente_ratiomax6	0.00101476396605822	0.00583094946110048	0.00352819093739191
Master_Fvencimiento_max6	0.00101277272990673	0.000835779446359329	0.00221376686267727
mcomisiones_mantenimiento_delta6	0.00101200005748077	0.00213379386902053	0.00145278450363196
mdescubierto_preacordado_tend6	0.00101118093447262	0.00426511070141695	0.0011760636457973
mtransferencias_emitidas_max6	0.00100798227594116	0.00232067893516667	0.00463507436873054
chomebanking_trx_ratioavg6	0.00100471126748838	0.00254502918025239	0.00297474922172259
mcomisiones_por_ctrx_q_delta6	0.00100101799658054	0.00136066455659882	0.00186786579038395
ratio_deuda_acumulada_antiguedad	0.000996667977760812	0.00824485313904382	0.00249048772051193
total_deuda_acumulada_delta2	0.000983096419559701	0.00551578328639585	0.00186786579038395
cpayroll_trx_lag1	0.000975002616615827	0.000114793854058596	0.00013836042891733
mrentabilidad_annual_ratioavg6	0.000967523385830673	0.00182479404608141	0.00249048772051193
mrentabilidad_sobre_ctrx_q_delta6	0.000966421966399346	0.00117964670855808	0.00262884814942926
total_deuda_acumulada_rank	0.000958196843372026	0.00153179524997894	0.00214458664821861
Visa_mpagominimo_min6	0.00095749011277715	0.00250225306685604	0.00359737115185057
cpayroll_trx_ratioavg6	0.000944980293299695	0.00161266104942984	0.0011760636457973
mrentabilidad_annual_ratiomax6	0.000941534188196029	0.000940675649839406	0.00221376686267727
mdescubierto_preacordado_delta6	0.000938344455057264	0.00338337487853796	0.000968523002421307
ccallcenter_trx_rank	0.000932041018097984	0.00262836152040949	0.00193704600484262
mv_mpagospesos_delta6	0.000930254321707255	0.00201151642550012	0.00159114493254929
