experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTh	20220722 135908	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0217941198222979	0.5326392465955	1729	1707	952	0.18196127957058	9570	16350000	1
8122HTh	20220722 135926	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0462229228630895	0.263967102518654	1214	1289	296	0.227956576323118	7878	15642000	2
8122HTh	20220722 140001	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0431452666112455	0.477241576214146	1353	692	469	0.18139832457529	9154	16406000	3
8122HTh	20220722 140022	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0517034319580125	0.399096574126452	586	956	296	0.202671344826895	8602	15758000	4
8122HTh	20220722 140053	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0242741980707797	0.342247513226175	535	2240	678	0.207616485573392	8762	16318000	5
8122HTh	20220722 140120	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0302698493048956	0.228220442282327	244	1510	430	0.215847216558611	8294	16546000	6
8122HTh	20220722 140154	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0351560822827741	0.557138768331788	855	2584	578	0.232918280113943	7716	15444000	7
8122HTh	20220722 140215	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0332930917030899	0.162760021122813	1658	2143	552	0.206684009262516	8626	16214000	8
8122HTh	20220722 140314	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0159418462238682	0.361496830244141	368	1371	1493	0.187710846823673	9232	16328000	9
8122HTh	20220722 140407	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0190489571768558	0.313698989806289	1107	306	1407	0.166351944062815	8808	15552000	10
8122HTh	20220722 140420	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0593368114031909	0.131771205896803	1444	1040	229	0.191754785670348	9204	16236000	11
8122HTh	20220722 140443	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0564488493627869	0.578977108716208	758	373	258	0.180834038659929	9274	15446000	12
8122HTh	20220722 140521	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.048437693065498	0.414807061004103	22	2647	895	0.161542643762808	10228	15452000	13
8122HTh	20220722 140558	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0118417956947815	0.12011274783581	999	2382	1266	0.195980242848146	9454	16106000	14
8122HTh	20220722 140619	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0268522783722437	0.223517695399642	197	576	403	0.219834244354856	8200	16040000	15
8122HTh	20220722 140642	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0411127230772399	0.470084613932704	1487	1964	331	0.195407398867154	9360	16320000	16
8122HTh	20220722 140716	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0261253420759086	0.238054511946426	346	2122	934	0.187033358619222	9628	16292000	17
8122HTh	20220722 140801	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0268487985110655	0.479988647500206	271	1569	905	0.183194392009645	9446	16234000	18
8122HTh	20220722 140824	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0422955776809268	0.515682367757708	1491	765	263	0.224882720134052	7954	15806000	19
8122HTh	20220722 140857	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0232214017961193	0.100133202819019	268	1485	940	0.192171094270911	9228	16452000	20
8122HTh	20220722 140919	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0488201892991785	0.10131759170054	240	1908	702	0.195779417604009	8816	15664000	21
8122HTh	20220722 141012	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0173650246624835	0.582974633081118	1214	208	840	0.200212092074504	8384	16336000	22
8122HTh	20220722 141050	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0321834246321814	0.452353621323709	970	2297	764	0.16679758259781	10490	16030000	23
8122HTh	20220722 141134	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0270784806811716	0.443787715869141	1435	1973	944	0.188488863231034	9266	15574000	24
8122HTh	20220722 141207	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.03642410422588	0.279692261580727	1197	1684	840	0.193558576646323	8734	15626000	25
8122HTh	20220722 141314	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0157311677632853	0.594859796612873	1406	1343	1168	0.193942026348452	8988	16452000	26
8122HTh	20220722 141334	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0503393224697793	0.191834779089666	476	2344	496	0.201389626474333	9056	15424000	27
8122HTh	20220722 141355	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0315200393733685	0.234370828462058	293	2371	449	0.209242423997931	8760	16440000	28
8122HTh	20220722 141446	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0174219298528437	0.577880248817902	1484	1474	847	0.216130543042221	8206	16154000	29
8122HTh	20220722 141507	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0303370798927659	0.227666733109224	376	1496	450	0.209091231593863	8618	16102000	30
8122HTh	20220722 141537	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0303439254044672	0.233927633655978	179	1989	749	0.182587588110092	9586	16094000	31
8122HTh	20220722 141611	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.042645215399377	0.572970905889757	584	1796	553	0.213130998608979	8266	16454000	32
8122HTh	20220722 141706	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0272711263895268	0.362631405337714	1361	1784	1454	0.186010942351847	8894	15466000	33
8122HTh	20220722 141733	785	49403	0	0	0	1	1	1	6	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319860344958142	0.226536941436818	1476	1570	675	0.205567876647031	8468	15892000	34
