Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_rank	0.124267052784145	0.00861688616654418	0.00391341567812156
ctrx_quarter_normalizado	0.0714073780373191	0.00575250254296232	0.00330194447841507
rf_015_031	0.0698463970907182	0.00122634696857888	0.00097835391953039
ctrx_quarter_rank	0.0553320432159282	0.00428623853190442	0.00305735599853247
rf_029_050	0.0363957938336992	0.00321269278430054	0.00146753087929559
rf_037_029	0.0263230247626814	0.000608325543116881	0.00134523663935429
cpayroll_trx	0.0251026616699967	0.0120792198984502	0.00770453711630182
rf_008_046	0.0207981431395026	0.00253189332293202	0.00122294239941299
rf_012_036	0.0193679891068223	0.00458662873652439	0.00183441359911948
rf_040_043	0.0193653235655219	0.00771450356739114	0.00415800415800416
rf_026_036	0.0170928617358149	0.00738434616328822	0.00293506175859117
mtarjeta_visa_consumo	0.0160990977761485	0.00430175614707381	0.00317965023847377
mprestamos_personales_ratiomax6	0.0121944443823976	0.0082395383986575	0.00587012351718234
mprestamos_personales_ratioavg6	0.0111050991356541	0.00670306330894151	0.00538094655741715
mdescubierto_preacordado_delta2	0.0101596572560981	0.0152248401556032	0.00538094655741715
rf_026_027	0.0100744535194037	0.000673240316100897	0.00158982511923688
cpayroll_trx_ratiomax6	0.00940308570411671	0.0104667119972519	0.00611471199706494
mtarjeta_visa_consumo_rank	0.00869087965694892	0.00524682444790952	0.00464718111776935
cproductos_ratiomax6	0.00825405102542924	0.00385353175947212	0.00464718111776935
mpasivos_margen_por_ctrx_q	0.00818390021445627	0.00140166449436401	0.00244588479882598
cproductos_ratioavg6	0.00768181565517277	0.00151045593723783	0.00220129631894338
mpayroll_sobre_edad_rank	0.00762124777372113	0.00168731471599689	0.00305735599853247
ratio_totalcomisiones_antiguedad	0.00626987045707387	0.0122887252174754	0.0108841873547756
exp_totalcomisiones_lag6	0.00611790949701742	0.00482398169451041	0.00794912559618442
rf_034_041	0.00611103347192425	0.000190302708108979	0.000611471199706494
mv_status01	0.00581648537947074	0.000721383454450363	0.00110064815947169
cproductos_sobre_edad_delta6	0.00542399052960284	0.00680777743712974	0.00538094655741715
exp_totalcomisiones_lag2	0.00538469668731851	0.0104524273844616	0.00856059679589091
ratio_totalcomisiones_antiguedad_lag2	0.00532260313272467	0.00333468996288285	0.00525865231747585
ratio_totalcomisiones_antiguedad_rank	0.00493338123498345	0.0102703703797632	0.00831600831600832
ratio_totalcomisiones_antiguedad_lag1	0.00445058928066264	0.00624074346232364	0.00709306591659533
rf_003_048	0.00417131149392625	0.000201988207929542	0.000489176959765195
Visa_status_max6	0.00402204236021467	0.0111787638655146	0.00403570991806286
rf_003_050	0.00397058272210895	0.000472541156113192	0.000489176959765195
mcuentas_saldo_ratioavg6	0.00388418008701451	0.00700865173950084	0.00684847743671273
mpayroll_min6	0.00387783378897504	0.00786623992267506	0.00452488687782806
mcaja_ahorro_rank	0.00385827027935069	0.00112263465482372	0.00171211935917818
mv_status04	0.00371757737457463	0.000605705413061191	0.000856059679589091
rf_039_033	0.00368002001865484	0.000462509000391941	0.00097835391953039
rf_032_036	0.00363330677207717	0.00252921014161831	0.00110064815947169
mcuentas_saldo	0.00358848556525107	0.00221020580449041	0.00354653295829766
cproductos_sobre_antiguedad_delta6	0.00334430507495413	0.00939529598103015	0.00782683135624312
mcomisiones_mantenimiento	0.00321999499308738	0.00486911238386536	0.00489176959765195
mpayroll_sobre_edad	0.00306940185456424	0.00388441987020885	0.00158982511923688
total_comisiones_lag6	0.00302743620848756	0.00176690642070997	0.00366882719823896
mprestamos_personales_max6	0.00296641389189439	0.000599456332821418	0.00097835391953039
total_deuda_acumulada	0.00294840937901512	0.00507491169005773	0.00293506175859117
mdescubierto_preacordado	0.00275454698401077	0.000794480879586907	0.00097835391953039
total_comisiones_lag2	0.00271904308143552	0.00261442041399092	0.00403570991806286
mcaja_ahorro_dolares_ratioavg6	0.00261365352198687	0.00439980785899744	0.00525865231747585
mplazo_fijo_dolares_rank	0.00251769045703398	0.0160533476974374	0.00660388895683013
mtarjeta_visa_debitos_automaticos_tend6	0.00241013124774961	0.00695161136807457	0.00513635807753455
mcomisiones_otras_max6	0.00239391677344173	0.000571111289491683	0.00110064815947169
ccomisiones_mantenimiento_ratioavg6	0.00235692220164974	0.00325579882770337	0.00317965023847377
ratio_totalcomisiones_antiguedad_delta1	0.00226698052190934	0.0033518118822842	0.00305735599853247
mcuentas_saldo_min6	0.00226677057336641	0.00831457640140213	0.00525865231747585
cpayroll_trx_rank	0.00226115439873968	0.00415986279373707	0.00342423871835637
mcaja_ahorro_dolares_delta1	0.00216283918311111	0.00576060813246615	0.00342423871835637
mcomisiones_mantenimiento_rank	0.00215936596095528	0.00439107876260869	0.00403570991806286
mcuentas_saldo_delta6	0.00214702427845922	0.00251013363321819	0.00525865231747585
cproductos_rank	0.0021300616638233	0.00359867156884126	0.00574782927724104
mpayroll_ratioavg6	0.00210353743190644	0.00508902116046457	0.00269047327870857
ratio_totalcomisiones_ctrx_lag6	0.00209029019274202	0.00270375704091647	0.00440259263788676
exp_totalcomisiones_lag1	0.00207938779783427	0.00270325263085227	0.00366882719823896
mcomisiones_sobre_antiguedad	0.00207099255294919	0.00630542704736157	0.00403570991806286
exp_totalcomisiones	0.00206800545748413	0.00404655968306683	0.00501406383759325
total_comisiones_lag1	0.00202473423960165	0.00197634868847709	0.00391341567812156
mcaja_ahorro_delta2	0.00201368160778138	0.00115706064170516	0.00232359055888468
total_comisiones	0.00183082004244033	0.00286986207733467	0.00281276751864987
ccaja_ahorro_rank	0.00182715116389439	0.00227990546738896	0.00366882719823896
mcaja_ahorro_ratioavg6	0.00179428183364294	0.00187447887259531	0.00244588479882598
thomebanking	0.00175058900745591	0.00239636114096043	0.00232359055888468
mcomisiones_mantenimiento_max6	0.00174378832909962	0.00257726921162374	0.00354653295829766
rf_035_056	0.00171668984101203	0.00151576625430257	0.000611471199706494
mcuentas_saldo_rank	0.00170196986386449	0.00130599471885465	0.00269047327870857
mprestamos_personales	0.00168033911043067	0.00283445529310617	0.00146753087929559
ccomisiones_mantenimiento_rank	0.00167928416074362	0.000758093298011365	0.00134523663935429
mrentabilidad_sobre_ctrx_q	0.00165124220106032	0.0031300395907256	0.00428029839794546
ratio_totalcomisiones_ctrx	0.00164873433714806	0.00682199899866196	0.00623700623700624
mv_mpagominimo	0.00164225034040171	0.0010809297504881	0.00158982511923688
tcallcenter_tend6	0.00163821426091864	0.00250219618040243	0.00183441359911948
cliente_edad_min6	0.00163809484370454	0.00418863518448231	0.00428029839794546
mrentabilidad_annual_sobre_antiguedad_delta6	0.00162066729155825	0.00471291340065237	0.00489176959765195
rf_015_048	0.00160574186235185	0.000115082557285606	0.000366882719823896
thomebanking_ratioavg6	0.00156556526100418	0.00564379516843254	0.00342423871835637
mcaja_ahorro_dolares_ratiomax6	0.00154172244564453	0.00507703441574456	0.00305735599853247
ccallcenter_trx_ratioavg6	0.00149610837476227	0.0029299639376228	0.00207900207900208
