experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTi	20220723 225011	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0337898172490532	0.181962587719318	562	574	181	0.181414600651751	9294	14466000	1
8122HTi	20220723 225041	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0311521695673582	0.206120962576824	799	2079	230	0.168514589913265	10480	14480000	2
8122HTi	20220723 225111	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0445628064882476	0.370060208909854	1253	1306	167	0.196712993389424	9158	13882000	3
8122HTi	20220723 225142	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0524736656677851	0.522689075661765	907	1474	118	0.176944810854813	10240	14240000	4
8122HTi	20220723 225218	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0487029452373099	0.425305958955141	691	2296	320	0.174169586295446	10024	13976000	5
8122HTi	20220723 225302	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0226041943345626	0.250163029531541	169	426	338	0.177176046861453	8468	13732000	6
8122HTi	20220723 225332	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0560505604598438	0.58222309765697	1788	2677	117	0.14168438676903	12438	13842000	7
8122HTi	20220723 225419	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0188939315755852	0.323824848122604	1063	1015	375	0.172422325499284	10072	14168000	8
8122HTi	20220723 225436	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0435824854395469	0.135980395725346	371	1728	151	0.192307313631521	8996	14044000	9
8122HTi	20220723 225514	785	95345	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0378571554255905	0.267115007097891	965	207	108	0.160007274843071	9974	13786000	10
