Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_rank	0.0981335946530788	0.00903306735608017	0.00734938788659794
mpasivos_margen_por_ctrx_q_rank	0.0397814930014383	0.00620672126554368	0.00503382731958763
mtarjeta_visa_consumo	0.0273467499481984	0.0060367672625208	0.00483247422680412
ctrx_quarter_normalizado	0.0243747359140278	0.00275664156483045	0.00241623711340206
rf_029_050	0.0231205912264671	0.00156475142688253	0.000684600515463918
mcuentas_saldo_rank	0.0139431842163728	0.00474173549942662	0.00616140463917526
mv_status04_delta6	0.0136344792035415	0.000870023113529382	0.000342300257731959
rf_013_034	0.011051518688353	0.00202995716825828	0.000543653350515464
rf_009_022	0.010832843604337	0.000679439710329354	0.000201353092783505
rf_012_036	0.0108274326309197	0.00217638962327463	0.000563788659793814
exp_totalcomisiones_lag6	0.010572588488736	0.00668473739405224	0.00515463917525773
exp_totalcomisiones	0.00995249218102053	0.00622526487881041	0.00640302835051546
rf_041_040	0.00977225296262805	0.00238916676683461	0.000865818298969072
mpayroll	0.0097547797168494	0.00528405353548407	0.00295989046391753
mprestamos_personales_ratioavg6	0.00921401641754742	0.00726702405299361	0.00245650773195876
rf_026_036	0.00827852639961364	0.00338533160678917	0.000684600515463918
mcaja_ahorro_rank	0.00808643954516575	0.00182003185448174	0.00126852448453608
rf_032_036	0.00774761976327159	0.00237443455284492	0.000885953608247423
rf_039_033	0.00730183291825504	0.000561998618219929	0.000422841494845361
rf_010_048	0.00728778851379739	0.00025657598080904	4.0270618556701e-05
cproductos_sobre_ctrx_q_rank	0.00707665336413527	0.000489700298224522	0.000664465206185567
mtarjeta_visa_consumo_ratiomax6	0.0069961842783686	0.00121219430588775	0.00177190721649485
mdescubierto_preacordado_delta2	0.00664102336766936	0.00459222812143924	0.00076514175257732
rf_035_056	0.00622157878697914	0.00309515456648639	0.00167123067010309
rf_008_046	0.00606803102179336	0.00108039998942054	0.000201353092783505
cpayroll_trx_ratiomax6	0.00597772210040661	0.00568924720939989	0.00249677835051546
exp_totalcomisiones_lag2	0.00590706585111045	0.00745285799038087	0.00575869845360825
total_comisiones	0.00586100262696711	0.0070168559536207	0.00676546391752577
cproductos_ratiomax6	0.00545988141811768	0.00299845038934331	0.00175177190721649
mprestamos_personales_ratiomax6	0.00484651448767637	0.00272331198017943	0.000825547680412371
ctrx_quarter_ratiomax6	0.00468947666545522	0.00204764872682062	0.00418814432989691
rf_013_031	0.00457888080050588	0.000122787265002237	6.04059278350516e-05
ctarjeta_visa_trx_ratiomax6	0.00455818121846756	0.00194761965482162	0.0020336662371134
mpasivos_margen_sobre_edad_rank	0.00451624279545641	0.00158257469106163	0.00185244845360825
rf_040_043	0.00448126053878129	0.00123712160976303	0.000362435567010309
ratio_totalcomisiones_antiguedad_lag1	0.004451223978784	0.00605813045113421	0.00408746778350516
rf_038_045	0.00425240492301182	0.0018482087928605	0.00078527706185567
mpasivos_margen_por_edad_rank	0.00417794787084225	0.00107407543194604	0.0020336662371134
total_comisiones_rank	0.0041223139315636	0.00493097765563142	0.00420827963917526
