experimento	fecha	cols	rows	learning_rate	feature_fraction	extra_trees	min_gain_to_split	lambda_l1	lambda_l2	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTj	20220724 141016	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	195	1546	412	0.189977412462415	9406	15914000	1
8122HTj	20220724 141049	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	437	641	166	0.189866392631729	9204	16236000	2
8122HTj	20220724 141116	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	349	1093	190	0.190826240240133	9570	16350000	3
8122HTj	20220724 141145	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	99	1908	282	0.234007111839354	7986	16374000	4
8122HTj	20220724 141213	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	457	551	229	0.201495041679733	8240	16240000	5
8122HTj	20220724 141240	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	11	927	335	0.198586394261434	9028	16652000	6
8122HTj	20220724 141311	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	192	264	180	0.154437655790712	9436	16124000	7
8122HTj	20220724 141335	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	299	1321	252	0.180267297895903	10002	16038000	8
8122HTj	20220724 141359	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	28	100	268	0.20035999640919	8442	15798000	9
8122HTj	20220724 141423	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	10	851	384	0.232371034708747	7796	15484000	10
8122HTj	20220724 141448	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	285	927	215	0.217315873028552	7980	15900000	11
8122HTj	20220724 141512	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	280	1102	216	0.212304568110657	8590	16370000	12
8122HTj	20220724 141551	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	10	935	860	0.194340208932841	8908	16052000	13
8122HTj	20220724 141632	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	11	928	874	0.182564066500333	9360	16080000	14
8122HTj	20220724 141657	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	285	428	122	0.202719738441886	8982	16098000	15
8122HTj	20220724 141726	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	324	1961	402	0.177626719008358	10320	15840000	16
8122HTj	20220724 141801	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	336	116	103	0.173468005204297	8768	15232000	17
8122HTj	20220724 141826	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	247	1440	282	0.184756591299742	9854	16306000	18
