Feature	Gain	Cover	Frequency
rf_015_031	0.124831897154193	0.00227032782482011	0.0017910447761194
rf_029_050	0.0529178740813648	0.003533607569183	0.00208955223880597
rf_040_043	0.0494789816530807	0.00726008323376949	0.00388059701492537
rf_039_033	0.0432343309330089	0.00123346816235393	0.0017910447761194
ctrx_quarter_rank	0.0412695884466037	0.00308340522795497	0.00238805970149254
cproductos_sobre_ctrx_q_rank	0.0337485698299677	0.00172503826063934	0.00119402985074627
rf_008_046	0.0328131266013649	0.00198847159885055	0.00298507462686567
rf_037_029	0.0277871722561506	0.000945526800730858	0.0017910447761194
ctrx_quarter_normalizado	0.0180875082887019	0.00519769677615514	0.0026865671641791
rf_012_036	0.0177303988627448	0.00439193270119102	0.00208955223880597
mprestamos_personales_ratioavg6	0.0157657864283318	0.0105058610951946	0.00955223880597015
rf_026_036	0.0151878799067874	0.00695606371555731	0.00447761194029851
rf_026_027	0.0145036256462033	0.00201585470929137	0.00358208955223881
mtarjeta_visa_consumo_rank	0.0127800906801894	0.00301176531669467	0.00149253731343284
rf_014_039	0.00963833524314873	0.0073750169312619	0.00507462686567164
mprestamos_personales_ratiomax6	0.00960099909760673	0.00756128349188531	0.00626865671641791
mpayroll	0.00919421617281296	0.0032893926525197	0.0026865671641791
rf_003_050	0.00836083237135782	0.00122548491099198	0.0017910447761194
mpayroll_ratioavg6	0.00787357763430662	0.00241740387875758	0.0026865671641791
rf_032_036	0.0078187998193248	0.00104914158763841	0.0017910447761194
rf_039_035	0.00765287966558236	0.0028937611379092	0.00238805970149254
cpayroll_trx_ratioavg6	0.00747055686828376	0.00547073234677374	0.00388059701492537
cproductos_ratiomax6	0.00682883686236466	0.00107644095768032	0.0017910447761194
ctrx_quarter_normalizado_rank	0.00665945447887221	0.00368753637909725	0.0017910447761194
mcomisiones_mantenimiento_ratiomax6	0.00628593087191378	0.00244933688420538	0.00597014925373134
rf_038_045	0.00561564707448087	0.000962260923778023	0.000597014925373134
mdescubierto_preacordado_delta2	0.00553669046345375	0.00888357230400752	0.00507462686567164
ratio_totalcomisiones_antiguedad	0.00545277099027764	0.0136215901171256	0.0113432835820896
mv_status01	0.00524975131198173	0.00121023020165874	0.00149253731343284
rf_039_047	0.00502167086286765	0.00706118582964509	0.00358208955223881
cpayroll_trx_ratiomax6	0.0048134537882968	0.00480799687313351	0.00388059701492537
ratio_totalcomisiones_antiguedad_rank	0.00471446822951761	0.00723716627793676	0.00805970149253731
mdescubierto_preacordado_delta6	0.00447622280648998	0.00309350990275576	0.0026865671641791
cproductos_sobre_ctrx_q	0.00431186859271755	0.00136316808351932	0.00119402985074627
total_deuda_acumulada	0.00425979849884887	0.00488921110333489	0.00328358208955224
rf_013_034	0.00425117627417723	0.00039979062108928	0.00149253731343284
cproductos_ratioavg6	0.00421036737546636	0.0018184088054146	0.00208955223880597
Master_status_max6	0.00416956047985841	0.00103193293566414	0.00208955223880597
exp_totalcomisiones_lag6	0.00406813551595956	0.00400403321674576	0.00567164179104478
ratio_totalcomisiones_antiguedad_lag2	0.00386967318196139	0.00656859688983971	0.00597014925373134
rf_041_040	0.00381415065465656	0.00119538023758686	0.0026865671641791
rf_034_041	0.0037956097165472	0.00343638496605827	0.00238805970149254
exp_totalcomisiones_lag2	0.00372816654194858	0.00830888985981229	0.00776119402985075
mcuentas_saldo_ratioavg6	0.003592882348709	0.00801511458373241	0.00716417910447761
rf_003_048	0.00358848713099994	0.000458911342713793	0.000895522388059701
Visa_status_max6	0.00348279888330294	0.00692766176359653	0.00447761194029851
rf_033_051	0.00302301960774884	0.00149370540867373	0.000895522388059701
ccomisiones_mantenimiento_ratioavg6	0.00300106089843815	0.00178471725158986	0.00417910447761194
rf_035_056	0.00298425230219345	0.00172859722759266	0.00149253731343284
mv_status04	0.00294932331252684	0.000324326564945808	0.00119402985074627
cpayroll_trx_rank	0.00293432864003807	0.00255917637409795	0.00208955223880597
cproductos_sobre_antiguedad_delta6	0.00293406086937333	0.0119554353136472	0.00776119402985075
mpayroll_sobre_edad_lag2	0.0028650715309908	0.0028828469725857	0.00149253731343284
cproductos_sobre_edad_delta6	0.00285881177731663	0.00371970664900861	0.00388059701492537
mpayroll_lag2	0.00285557140903696	0.000346336333123773	0.000597014925373134
mpayroll_sobre_edad_rank	0.00281138128327833	0.00175853442019997	0.00208955223880597
mtarjeta_visa_consumo	0.00280544949315542	0.00200339134658818	0.00119402985074627
exp_totalcomisiones_lag1	0.00271833745528764	0.00512863886052764	0.00537313432835821
