experimento	fecha	cols	rows	learning_rate	feature_fraction	extra_trees	min_gain_to_split	lambda_l1	lambda_l2	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTk	20220724 224232	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	195	1546	293	0.184871662615768	9884	16036000	1
8122HTk	20220724 224306	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	437	641	583	0.172191867659985	9584	15376000	2
8122HTk	20220724 224341	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	349	1093	656	0.209000190392374	8350	15530000	3
8122HTk	20220724 224415	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	99	1908	627	0.183263210443597	9602	15838000	4
8122HTk	20220724 224443	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	457	551	276	0.193068292365969	9134	16186000	5
8122HTk	20220724 224508	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	11	927	283	0.187906389996831	9738	16542000	6
8122HTk	20220724 224533	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	192	264	321	0.18465171170048	9404	16036000	7
8122HTk	20220724 224602	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	299	1321	476	0.214525759241144	8400	15840000	8
8122HTk	20220724 224626	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	270	927	322	0.188563566931746	9510	15810000	9
8122HTk	20220724 224657	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	11	1056	568	0.163302082769787	10564	16196000	10
8122HTk	20220724 224721	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	280	1102	301	0.187124276167441	9772	16268000	11
8122HTk	20220724 224743	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	285	428	266	0.160680794041477	10788	15732000	12
8122HTk	20220724 224812	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	324	1961	463	0.173154589972582	10488	16032000	13
8122HTk	20220724 224840	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	336	116	225	0.173870428293741	9902	16618000	14
8122HTk	20220724 224913	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	247	1440	561	0.202397852722399	8840	15400000	15
8122HTk	20220724 224939	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	111	587	366	0.199950339959406	8872	15968000	16
8122HTk	20220724 225012	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	383	768	568	0.180012936164227	9248	16072000	17
8122HTk	20220724 225043	785	49403	0.05	0.5	TRUE	0	0	0	1	1	1	6	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	296	1492	508	0.197863241474148	9112	16328000	18
