Feature	Gain	Cover	Frequency
rf_015_031	0.112740582937457	0.00279716034586681	0.00198181394264397
ctrx_quarter_normalizado	0.0601521938655668	0.00857053179676161	0.00209839123338774
rf_029_050	0.0365774413589355	0.00264464177729737	0.00268127768710655
rf_037_029	0.0359426742803332	0.00113484385609526	0.00151550477966892
rf_008_046	0.0347960462865833	0.0036568365429054	0.00233154581487526
rf_040_043	0.0336253169854144	0.0112958574069171	0.00454651433900676
ctrx_quarter_normalizado_rank	0.0187369327278403	0.00598351485685642	0.00174865936115645
rf_003_050	0.0178833381501042	0.00242814091417063	0.00326416414082537
rf_026_036	0.0132426778246417	0.00774853221641418	0.00338074143156913
cproductos_sobre_ctrx_q	0.011885089902024	0.000942413745275416	0.00116577290743763
rf_026_027	0.011741120280403	0.00194725439772569	0.00198181394264397
rf_012_036	0.0111752644972636	0.00580768057839874	0.00233154581487526
mprestamos_personales_ratioavg6	0.0103159617657436	0.00713563408349063	0.00524597808346934
rf_001_025	0.0102877247541045	0.00168819934388324	0.00116577290743763
ctrx_quarter_rank	0.00971415669345833	0.00347245518426848	0.00139892748892516
mprestamos_personales_ratiomax6	0.00915082589793461	0.00709561683530162	0.00501282350198181
rf_020_030	0.00820922077306267	0.000921257456704546	0.00163208207041268
mpayroll_sobre_edad_delta6	0.00714939682158992	0.00123410173245238	0.000932618325950105
rf_032_036	0.00711483112945431	0.00182013545611999	0.0022149685241315
cpayroll_trx_ratioavg6	0.00686023558607675	0.00495883168964374	0.0031475868500816
rf_014_039	0.00661479909745992	0.00875480744945991	0.0031475868500816
rf_039_033	0.00557760549448886	0.000578800417296844	0.00139892748892516
mpasivos_margen_por_ctrx_q	0.00547142349744035	0.000978731285612991	0.000699463744462579
mpayroll_min6	0.00538071288089087	0.00811466738607108	0.00233154581487526
mtarjeta_visa_consumo	0.00533321504494096	0.0031616646238994	0.00174865936115645
mpayroll	0.00522898918936376	0.00576275555448843	0.0022149685241315
Visa_status_max6	0.00512130161065089	0.00400895812527196	0.00361389601305666
ratio_totalcomisiones_antiguedad	0.00502466184273302	0.00966073754506565	0.0053625553742131
mcaja_ahorro_rank	0.00493413067735201	0.000571325497352104	0.000932618325950105
rf_039_046	0.00489928804861375	0.000657068114415202	0.00104919561669387
ccomisiones_mantenimiento_ratioavg6	0.00488774735303008	0.00381746426705126	0.00419678246677547
cpayroll_trx_ratiomax6	0.00466755142148579	0.00507516862551097	0.00279785497785032
Master_status_max6	0.00461945797410025	0.00185222475891307	0.00256470039636279
mpasivos_margen_por_ctrx_q_rank	0.00437254503979738	0.000470874653973498	0.000932618325950105
cproductos_ratiomax6	0.00435102606953599	0.00278616692825111	0.00256470039636279
mv_status04	0.00419030796204359	0.000248726073555175	0.00163208207041268
ratio_totalcomisiones_antiguedad_lag1	0.00392472686910886	0.00432812965648817	0.00396362788528795
mpayroll_sobre_edad	0.00378639343032646	0.00145111602442381	0.00116577290743763
rf_039_047	0.00366077555912254	0.00623743562225198	0.00233154581487526
mdescubierto_preacordado_delta2	0.00361524583385222	0.0074398859765141	0.00244812310561903
mtarjeta_visa_consumo_rank	0.00339243951247447	0.0015506155143549	0.000699463744462579
ratio_totalcomisiones_antiguedad_lag2	0.00328274579991411	0.00506343526632498	0.00361389601305666
rf_041_040	0.00326384635932684	0.00154801816843471	0.00303100955933784
rf_034_041	0.00322952375207021	0.00249553600046027	0.00128235019818139
rf_035_056	0.00313321085117473	0.00162701070627498	0.00151550477966892
mcomisiones_mantenimiento_ratiomax6	0.00311677937073033	0.00202961442475319	0.00338074143156913
rf_039_035	0.00309405413064071	0.00135966528667564	0.00151550477966892
ratio_deuda_acumulada_cproductos_sobre_ctrx_q_delta6	0.00300667814705219	0.00229297322038201	0.00128235019818139
total_deuda_acumulada	0.00295349553276232	0.00369923972513738	0.00233154581487526
rf_012_039	0.00290585913589247	0.000297320603620172	0.00128235019818139
cproductos_sobre_edad_delta6	0.00288638423961913	0.00601510583165318	0.00419678246677547
cpayroll_trx_rank	0.00286181055585276	0.00200814101836648	0.00116577290743763
mcuentas_saldo_ratioavg6	0.0028291695673232	0.00799946301383185	0.00349731872231289
mdescubierto_preacordado	0.00278000480060589	0.00161126052142172	0.00244812310561903
rf_017_041	0.00269787113741659	0.000426659369936733	0.000699463744462579
ratio_totalcomisiones_antiguedad_lag6	0.00268046257274409	0.00150511665820642	0.00268127768710655
