fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220601 204729	820	14	456	43	5	10886000	1
20220601 220233	1621	20	307	26	5	10577000	2
20220601 220958	337	13	225	10	5	11400000	3
20220601 223530	1204	5	264	34	5	10857000	4
20220602 000110	1462	23	204	35	5	9870000	5
20220602 000527	2016	1	128	17	5	-28000	6
20220602 002303	895	27	171	12	5	11048000	7
20220602 012752	1359	16	423	32	5	10871000	8
20220602 015331	2102	26	111	7	5	11259000	9
20220602 015913	1013	9	82	4	5	10794000	10
20220602 022616	2288	4	386	29	5	10558000	11
20220602 025756	505	19	12	39	5	8792000	12
20220602 035134	685	23	479	47	5	10173000	13
20220602 044803	1873	29	366	19	5	10660000	14
20220602 045127	193	7	340	22	5	11260000	15
20220602 070815	2448	11	53	50	5	10721000	16
20220602 080600	2498	6	500	38	5	11032000	17
20220602 080753	100	11	500	14	5	11150000	18
20220602 081942	2499	13	500	2	5	10331000	19
20220602 082549	100	12	120	50	5	10658000	20
20220602 115307	2500	26	500	50	5	9698000	21
20220602 115752	100	9	500	50	5	11160000	22
20220602 115835	102	15	283	2	5	10348000	23
20220602 120129	111	5	500	50	5	11097000	24
20220602 121608	2400	28	7	2	5	11248000	25
20220602 124549	1400	8	500	25	5	11410000	26
20220602 132122	1213	10	344	28	5	11512000	27
20220602 132330	1024	5	500	2	5	5265000	28
20220602 132645	126	8	291	29	5	11359000	29
20220602 142059	2182	12	33	20	5	10794000	30
20220602 143057	1756	27	500	2	5	10663000	31
20220602 144702	528	13	475	24	5	11205000	32
20220602 145149	229	10	195	19	5	11306000	33
20220602 153326	2496	22	500	11	5	11599000	34
20220602 154802	2500	22	1	2	5	11280000	35
20220602 155008	137	22	407	9	5	11635000	36
20220602 161035	1372	20	500	8	5	11869000	37
20220602 165908	2499	18	367	11	5	11560000	38
20220602 172040	1480	21	286	9	5	11416000	39
20220602 173232	505	19	500	14	5	11130000	40
20220602 174947	2500	20	500	2	5	10638000	41
20220602 180438	1039	23	500	8	5	11935000	42
20220602 183509	2425	15	1	7	5	11547000	43
20220602 183634	114	30	1	5	5	6467000	44
