Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.229013227473617	0.0139117794599662	0.00547945205479452
mcuentas_saldo_lag2	0.0628785197283294	0.0022017439358974	0.00365296803652968
mcaja_ahorro	0.0440331565640713	0.00713652479570261	0.00493150684931507
mpasivos_margen	0.0257558650932578	0.00661016429653473	0.00712328767123288
mpayroll_sobre_edad	0.0207611334389345	0.0125712326830906	0.00365296803652968
mtarjeta_visa_consumo	0.0189412897157171	0.00786387068299815	0.00675799086757991
mpasivos_margen_mean6	0.0176739734837868	0.00139509509655804	0.00292237442922374
cpayroll_trx	0.0164377144375664	0.00714202309988046	0.00200913242009132
mpayroll	0.0162127363399638	0.0109988022645063	0.0034703196347032
Visa_Finiciomora_mean6	0.0105630063169098	0.00338780451944534	0.00127853881278539
mv_status04_delta3	0.00994942850932022	0.000440199256310592	0.000365296803652968
mprestamos_personales_delta3	0.00959162055723903	0.00299886187387078	0.00146118721461187
mv_Finiciomora	0.0091525610682101	0.00518259529023773	0.0010958904109589
ctarjeta_visa_trx	0.00902854796401002	0.00725023084250766	0.00675799086757991
mcuentas_saldo_delta2	0.00883228488577592	0.00399830404253659	0.00511415525114155
mcuentas_saldo	0.00677140668781284	0.0086840821751288	0.00712328767123288
Visa_Finiciomora	0.00629154884306974	0.00495467827621626	0.0010958904109589
mdescubierto_preacordado_delta3	0.00626645549464339	0.00344943102827778	0.00127853881278539
foto_mes	0.00614361320771981	0.0075419792690674	0.00712328767123288
mprestamos_personales	0.00578573047831999	0.0083523181716475	0.00310502283105023
mcaja_ahorro_delta3	0.00549030287787686	0.00196211056934927	0.0034703196347032
mactivos_margen	0.00541694840943665	0.00531209342066207	0.00748858447488585
mprestamos_personales_lag1	0.00521346895013843	0.000614359584661435	0.0010958904109589
mv_msaldototal	0.00448885675368884	0.00356057610522426	0.00237442922374429
mprestamos_personales_delta2	0.00418521514486168	0.00547963903789538	0.00200913242009132
mv_Finiciomora_lag1	0.00417636693166081	0.00533235451509135	0.00182648401826484
Visa_Finiciomora_lag1	0.00407042261726655	0.00407595099095325	0.00091324200913242
cliente_vip_lag1	0.00406186261885298	0.00373147517209075	0.00127853881278539
cproductos_delta3	0.00399288065007098	0.00542073757691114	0.00219178082191781
cprestamos_personales_delta3	0.00364153316129156	0.00104824352989741	0.000547945205479452
ctrx_quarter_normalizado_delta2	0.00361931967398293	0.00146955267333114	0.00219178082191781
Visa_msaldototal	0.00347230777553839	0.00178448092185713	0.00200913242009132
cpayroll_trx_lag1	0.00344387664575621	0.00235333254575898	0.00091324200913242
mprestamos_personales_lag2	0.00339474663891104	0.00132121263851143	0.00091324200913242
mdescubierto_preacordado	0.00336009623328587	0.000317331906497603	0.000182648401826484
ctrx_quarter	0.00335059813082648	0.00669297801009868	0.00493150684931507
mcuentas_saldo_delta3	0.00299659225896736	0.00239796260469783	0.00383561643835616
mv_Finiciomora_delta1	0.00296767606063168	0.00694052433371312	0.00164383561643836
mvr_mpagospesos	0.00295042421825524	0.00317504949573252	0.00200913242009132
mcuenta_corriente_delta1	0.0027573541743792	0.00403014193862509	0.00273972602739726
mv_mpagospesos_delta3	0.00275250207611465	0.00169320704267388	0.00310502283105023
mrentabilidad_annual	0.00270365235060035	0.000635095152040078	0.00219178082191781
ccomisiones_mantenimiento_delta3	0.00269681147576438	0.000951311497360848	0.000730593607305936
mvr_Master_mlimitecompra	0.00246115319076191	0.000677331702161303	0.00164383561643836
ctrx_quarter_delta1	0.00230341131660508	0.00180316551436555	0.00365296803652968
mrentabilidad_mean6	0.00229782725661787	0.00117951691650839	0.00219178082191781
mcuenta_corriente_lag1	0.00228407651257679	0.00110272588007881	0.00365296803652968
mrentabilidad_annual_delta1	0.00226812368694776	0.0036048813912352	0.00474885844748858
mactivos_margen_lag2	0.00224303911655032	0.00335985036628635	0.00474885844748858
mcuenta_corriente_lag3	0.00224172410163112	0.00106818830902712	0.00237442922374429
mcuentas_saldo_mean6	0.00223547342305122	0.0026338695402034	0.00474885844748858
thomebanking_mean6	0.00218998503650652	0.00137599523449857	0.00219178082191781
mcuenta_corriente_mean6	0.00215677728923648	0.00338289063738514	0.00474885844748858
mv_mconsumototal	0.00213382955258534	0.000906014131546703	0.00091324200913242
mactivos_margen_delta3	0.00210795559784725	0.00486454025651784	0.00639269406392694
mcuenta_corriente	0.00204071516288874	0.00190286572865479	0.00365296803652968
mrentabilidad_delta2	0.00197563088053824	0.0037709511523248	0.00438356164383562
mrentabilidad_annual_delta2	0.00195845833265789	0.00139714860871676	0.00328767123287671
cliente_edad	0.00188960665026075	0.00423666538178377	0.00602739726027397
mprestamos_personales_mean6	0.00184168224858137	0.000461718000072668	0.000547945205479452
mcuentas_saldo_lag3	0.00184152103415683	0.00274043734869726	0.0045662100456621
Visa_Finiciomora_delta1	0.00182823106855755	0.000731863106587024	0.000182648401826484
mtransferencias_recibidas	0.00181557437709867	0.00349147643599872	0.00328767123287671
mcomisiones_mantenimiento_delta3	0.00178626740396412	0.00264256482789031	0.00182648401826484
cliente_edad_lag1	0.00178537961014056	0.0029045424027256	0.0034703196347032
cproductos	0.00178258713787118	0.00463299914875662	0.0034703196347032
Master_Fvencimiento	0.00177163010127959	0.00099081031319139	0.00292237442922374
mactivos_margen_delta1	0.00170854385605966	0.00160153480919624	0.00383561643835616
chomebanking_trx_lag2	0.00169032364748492	0.00408397897176485	0.00438356164383562
cliente_edad_lag3	0.00168460594259543	0.00598503984253385	0.00621004566210046
ctrx_quarter_normalizado_delta1	0.00166784071415184	0.00198865229857701	0.00292237442922374
chomebanking_trx_delta1	0.00165618860435991	0.00462312402191757	0.00420091324200913
mcuenta_corriente_delta3	0.00164632804682022	0.0036940112616366	0.00328767123287671
mcomisiones_delta2	0.00164235310840618	0.00345060833014143	0.00328767123287671
mtarjeta_visa_debitos_automaticos_delta3	0.00162379343289774	0.00377000220642608	0.00182648401826484
mpagomiscuentas	0.00160719475358668	0.00468217264563478	0.00200913242009132
ctarjeta_visa_trx_delta3	0.0015993233598706	0.00126847678858033	0.00237442922374429
mrentabilidad_annual_delta3	0.00157799894930596	0.00243400647935523	0.00383561643835616
mprestamos_personales_delta1	0.00157132631837452	0.00260281566626117	0.00164383561643836
cliente_edad_mean6	0.00157006812052421	0.00454137681528614	0.00420091324200913
tmobile_app_delta2	0.00156857498377795	0.00138911639909099	0.00200913242009132
mcuentas_saldo_lag1	0.00156529974913674	0.00404430169997653	0.0034703196347032
mactivos_margen_mean6	0.00155603994735692	0.00404890772436549	0.00310502283105023
mcuentas_saldo_delta1	0.00155084727230527	0.0034962338519348	0.00365296803652968
mcuenta_debitos_automaticos	0.00151604650728891	0.00959823508241823	0.00164383561643836
mv_Fvencimiento_delta2	0.0015063574997067	0.000757423750928394	0.000365296803652968
mv_mpagominimo_mean6	0.00150577614251383	0.00224495734209084	0.00237442922374429
ccomisiones_mantenimiento_mean6	0.00149887376040832	0.00426879929486385	0.00273972602739726
mactivos_margen_lag3	0.00148580944368418	0.0012555239307917	0.00219178082191781
ccaja_ahorro	0.00146165686694234	0.00662185358465074	0.00146118721461187
cliente_edad_lag2	0.00145164278484527	0.00487502771564804	0.00566210045662101
mpayroll_sobre_edad_mean6	0.00144964779295595	0.00204145496377192	0.00182648401826484
mcaja_ahorro_lag2	0.00144223055243606	0.00355571296893405	0.0034703196347032
mactivos_margen_delta2	0.00144212513332285	0.00115925243902777	0.00255707762557078
ccomisiones_mantenimiento_delta2	0.00142632496641177	0.00101958908511263	0.000730593607305936
chomebanking_trx_delta3	0.00142302374140959	0.00345645847165785	0.00383561643835616
mrentabilidad_annual_lag2	0.00142183534238877	0.00147103867862887	0.00328767123287671
mcuenta_corriente_delta2	0.00141477972800921	0.00115639376065196	0.00182648401826484
mtarjeta_visa_consumo_delta3	0.00141209989005251	0.00198367583006717	0.00164383561643836
cmobile_app_trx_delta2	0.00139116250290531	0.00423645309531267	0.00273972602739726
ctrx_quarter_normalizado_delta3	0.00138830447387379	0.00255550876795563	0.00328767123287671
mv_fultimo_cierre_delta2	0.00137415824458882	0.000714862427879266	0.00127853881278539
ccaja_ahorro_lag1	0.00137280419277251	0.00199386050610313	0.00146118721461187
mvr_mpagominimo_delta2	0.00136707109239529	0.00248640233262743	0.00200913242009132
mcomisiones	0.00134474983894742	0.00161213221749475	0.00219178082191781
mcaja_ahorro_delta1	0.00134267803616612	0.00278358478538971	0.0034703196347032
mv_fechaalta_delta2	0.00133762861517342	0.00287373802881913	0.00091324200913242
mcomisiones_mantenimiento	0.00132623390547392	0.00287722341745426	0.00237442922374429
mvr_mpagominimo_mean6	0.00131761687265267	0.00180632782159844	0.00328767123287671
mautoservicio	0.00129085376306131	0.00226655389603356	0.000730593607305936
chomebanking_trx_mean6	0.00128402535425467	0.00115762857438826	0.00219178082191781
cprestamos_personales	0.0012632563072624	0.000221339516468592	0.000182648401826484
ctrx_quarter_lag1	0.00124236359338997	0.00138644801735262	0.00365296803652968
mv_mpagominimo	0.00123096640847731	0.00281958129732847	0.00237442922374429
mcaja_ahorro_lag1	0.0012287953781108	0.00285988612513893	0.0045662100456621
ccaja_seguridad	0.00122462562206379	0.00685575352495342	0.00146118721461187
Visa_fechaalta_delta2	0.00122292160261384	0.00114437462503105	0.0010958904109589
chomebanking_trx_lag3	0.00120645497192886	0.00177572727653474	0.00237442922374429
chomebanking_trx_delta2	0.00120316605960598	0.00158321896928304	0.00219178082191781
mcomisiones_otras_delta2	0.00119759128341412	0.00220907162508321	0.00383561643835616
cproductos_delta2	0.00118876136739161	0.00117816792478963	0.00091324200913242
ccajas_trx_mean6	0.00117493121305752	0.00242242460311902	0.00255707762557078
mv_mpagospesos	0.0011698046161792	0.000693694675692918	0.00127853881278539
mrentabilidad_annual_mean6	0.00115003915345067	0.00257001275478013	0.00292237442922374
mrentabilidad_annual_lag1	0.00114995232572556	0.00116411642108082	0.00310502283105023
mcuenta_corriente_lag2	0.00114713770611477	0.000756520476222664	0.00237442922374429
chomebanking_trx_lag1	0.00112709511887079	0.00162697450945248	0.0034703196347032
mpayroll_delta3	0.00110350483525679	0.00168715645536602	0.00127853881278539
mrentabilidad_annual_lag3	0.00109326621757036	0.00107526142360018	0.00273972602739726
mcaja_ahorro_dolares_delta2	0.00107160269910854	0.00113504839827067	0.00164383561643836
mpasivos_margen_delta3	0.00105792765221393	0.00143747965517505	0.00237442922374429
mcomisiones_otras_lag2	0.00105694222264576	0.000962667554920625	0.00237442922374429
Visa_fechaalta_mean6	0.0010500665818919	0.00163645551081132	0.00200913242009132
Master_Fvencimiento_lag3	0.00104767872949644	0.000726812210947865	0.00237442922374429
mv_Fvencimiento	0.00104418781008503	0.000756567838941316	0.00237442922374429
mcomisiones_otras_lag3	0.00103094047323363	0.000813078328396447	0.00273972602739726
Visa_cconsumos_mean6	0.00102555975975493	0.000641329269882717	0.00164383561643836
mcaja_ahorro_dolares_delta1	0.00101195897727895	0.00282486477774672	0.00182648401826484
mrentabilidad_lag2	0.00100694798635725	0.000375193079197164	0.00127853881278539
mpasivos_margen_lag2	0.00100603675144495	0.00226132877325078	0.00310502283105023
mcaja_ahorro_mean6	0.000999455710923763	0.00131723163285611	0.00273972602739726
Visa_mpagospesos_lag2	0.00099636654845414	0.000652723386769982	0.00200913242009132
internet_delta3	0.000987292918551573	0.00291260421405053	0.00164383561643836
mcomisiones_mantenimiento_mean6	0.000987048045408208	0.00213934270830986	0.00200913242009132
Visa_fultimo_cierre_lag3	0.000984620436992425	0.000587346765535665	0.00127853881278539
mcomisiones_lag2	0.000982145453014079	0.000932515264158459	0.00164383561643836
ctarjeta_visa_debitos_automaticos_delta3	0.000981321017085681	0.00234900308581644	0.00091324200913242
ctrx_quarter_delta3	0.000978420453933979	0.0021377585945235	0.00273972602739726
Visa_msaldopesos	0.00097410712121052	0.000905492295878692	0.00164383561643836
mv_status07_delta2	0.00097229460418762	0.00222239746428124	0.000547945205479452
ctransferencias_recibidas_mean6	0.000971413544943372	0.00161126277330234	0.00292237442922374
mcomisiones_otras_lag1	0.000966480496262442	0.000711743254550864	0.00255707762557078
Visa_mpagospesos_mean6	0.000965050219615531	0.00192175245848032	0.00146118721461187
mpasivos_margen_lag3	0.000960669157278769	0.0019890481155829	0.00365296803652968
