fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220620 180515	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	33	TRUE	0.24933186018595	0.811952106514946	13498	801	0.0334047768662761	109516000	HT7320	2092	1658475	1
20220620 184304	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	111	TRUE	0.0884169236865127	0.723069891370833	17726	1045	0.00955605420119052	121921000	HT7320	2092	1658475	2
20220620 190035	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	38	TRUE	0.229481640681974	0.703859090218321	14501	1157	0.0276874260001932	116103000	HT7320	2092	1658475	3
20220620 204258	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	39	TRUE	0.183652453001356	0.80909199077636	14389	510	0.0413165359573516	101231000	HT7320	2092	1658475	4
20220620 213050	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	199	TRUE	0.0546448152558878	0.768129143491388	16635	990	0.0350978341370743	111652000	HT7320	2092	1658475	5
20220621 021113	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	746	TRUE	0.0128449264733354	0.41833580753766	15619	1214	0.0210293516487582	128838000	HT7320	2092	1658475	6
20220621 023614	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	53	TRUE	0.12484260669339	0.931563506592065	10091	1102	0.0197706649133276	126465000	HT7320	2092	1658475	7
20220621 033035	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	176	TRUE	0.0406425704276189	0.617370637785643	11584	1897	0.0328893107051651	114031000	HT7320	2092	1658475	8
20220621 035037	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	38	TRUE	0.163893136147992	0.697336846608669	10357	1616	0.0135877591063036	123741000	HT7320	2092	1658475	9
20220621 042643	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	47	TRUE	0.130251577987801	0.57304129421711	5437	1797	0.0254162074803996	113585000	HT7320	2092	1658475	10
20220621 051713	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	115	TRUE	0.0977934595694533	0.533243903880939	17339	918	0.0368140416491466	109628000	HT7320	2092	1658475	11
20220621 054050	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	24	TRUE	0.227378035533591	0.453364762710407	6868	749	0.0170087664228049	118347000	HT7320	2092	1658475	12
20220621 060207	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	50	TRUE	0.147337384581333	0.972521144459024	12989	1440	0.0375766882915438	107003000	HT7320	2092	1658475	13
20220621 061812	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	30	TRUE	0.268789132859092	0.66740076392889	14955	327	0.0105315140817159	117317000	HT7320	2092	1658475	14
20220621 063739	binary	custom	TRUE	TRUE	FALSE	-100	777781	-1	0	0	0	31	26	TRUE	0.192907590840477	0.90343556150794	6185	554	0.0308411698283938	107709000	HT7320	2092	1658475	15
