Feature	Gain	Cover	Frequency
ctrx_quarter	0.15326686750052	0.0470873353773781	0.0246298965020307
mpasivos_margen	0.0907339341906652	0.0292781744816594	0.0180793921131927
cpayroll_trx	0.0779402217766565	0.0449271243942326	0.00864666579326608
mpayroll	0.0626381802663089	0.0716263172519364	0.01414908947989
mtarjeta_visa_consumo	0.050158252101186	0.0210294659106167	0.0115943927682432
ctarjeta_visa_trx	0.0354596366230343	0.013249954759109	0.0117909078999083
mcaja_ahorro	0.0351720055615202	0.0176476283687168	0.020372068649286
mrentabilidad_annual	0.0247475034810893	0.0230441687014422	0.0375343901480414
mactivos_margen	0.024442595865656	0.0238580701518655	0.0254159570286912
mcuentas_saldo	0.0241351922359457	0.0243887719662741	0.0313769160225337
mprestamos_personales	0.0238907466054179	0.0243157932844259	0.0140835844360016
Master_Fvencimiento	0.0165784700348721	0.0248619827612226	0.0409406524302371
Master_fechaalta	0.014582935434189	0.0179706350887756	0.0301978252325429
Visa_msaldopesos	0.0139188154050183	0.0245044394290474	0.0163107559282065
chomebanking_trx	0.0132649087479618	0.0154992154259404	0.0240403511070352
Visa_msaldototal	0.0131454527015332	0.0103613511387667	0.00982575658325691
mcuenta_corriente	0.0129314512590901	0.0139791086542876	0.0248919166775842
numero_de_cliente	0.0126114131830422	0.014574444479717	0.0288877243547753
cliente_edad	0.0125071135353693	0.0215587443767681	0.0340626228219573
mcomisiones_otras	0.0118726355880989	0.0137365036105737	0.0210271190881698
Visa_Fvencimiento	0.011748243369278	0.0111978511594694	0.0271190881697891
Visa_mpagominimo	0.0111409540407941	0.00986778763041997	0.0168347962793135
cliente_antiguedad	0.0109122433420618	0.00832918899821331	0.0214201493515001
Visa_fechaalta	0.0106464888055085	0.0107890585399455	0.0231232804925979
ctarjeta_visa_trx2	0.0102941820700892	0.0130378846188869	0.0121184331193502
mcaja_ahorro_dolares	0.0102581249890853	0.0152197608291923	0.0206995938687279
Master_mfinanciacion_limite	0.00987435669458669	0.0137389798865374	0.0256779772042447
