Feature	Gain	Cover	Frequency
ctrx_quarter	0.07077903321332	0.020935480044256	0.0286580985072244
mcaja_ahorro	0.0549832345195485	0.0204651897546089	0.0304143051009819
cpayroll_trx	0.041281902146433	0.00657221044811561	0.00343258561507145
mpasivos_margen	0.0399048402069539	0.0199334118149375	0.0313722359703041
ctarjeta_visa_trx	0.0390302392700218	0.0160220679712246	0.0154865490540433
mcuentas_saldo	0.0342224909518298	0.0297187052753755	0.034565338868045
mpayroll	0.0294695478055967	0.0149137420206078	0.00670551608525585
mtarjeta_visa_consumo	0.0270836280093451	0.0128135475014694	0.0160054282749262
mactivos_margen	0.0259391297816638	0.0238851569632964	0.0247864612437136
cliente_edad	0.0256311569271586	0.0333615480887397	0.0312125808254171
mrentabilidad_annual	0.0244140941354502	0.0288030904749079	0.0254250818232618
Master_fechaalta	0.0235021768613965	0.0230182797475236	0.0315318911151912
numero_de_cliente	0.0229578503540142	0.0212704109897436	0.029057236369442
Visa_Fvencimiento	0.0227902335680284	0.0210505731654464	0.026383012692584
Master_Fvencimiento	0.0210474526186001	0.0239956953712505	0.0287379260796679
Master_mfinanciacion_limite	0.0205894935567325	0.0180060556468557	0.0225113754290732
mprestamos_personales	0.0204684058274042	0.0125828973712342	0.00459008541550251
cliente_antiguedad	0.0199524822947214	0.0218377419209169	0.0269418056996887
Visa_fechaalta	0.0195349212197249	0.0169302312060323	0.0239482717330566
chomebanking_trx	0.0190423978541376	0.0138591644264455	0.0231499960086214
Visa_msaldopesos	0.0185994154193892	0.0139020828609678	0.0173225832202443
mcuenta_corriente	0.0179774049561779	0.0261383679250494	0.0223118064979644
mrentabilidad	0.0171585258168828	0.0204810480642955	0.0197174103935499
Visa_mpagospesos	0.0159783163693726	0.0135827831745714	0.021034565338868
Visa_mconsumospesos	0.0153613808725784	0.0127058902872772	0.0234293925121737
mcomisiones_otras	0.0153341558383553	0.0134881226496312	0.0201963758282111
Visa_mfinanciacion_limite	0.0134844738326745	0.0155549505179144	0.018879220882893
mtransferencias_recibidas	0.0133003300514559	0.014110990939364	0.0203560309730981
Visa_mpagominimo	0.0132858250631419	0.0102683592607399	0.0159256007024826
mcomisiones	0.0109394852173555	0.0121001878054872	0.0167238764269179
Visa_mlimitecompra	0.0108969047051672	0.0148658519609801	0.014528618184721
mtransferencias_emitidas	0.0107063523230711	0.0132208743122224	0.0140097389638381
mcaja_ahorro_dolares	0.0104401341015883	0.015871549085159	0.0161251696335914
Master_mlimitecompra	0.0101881462765979	0.013130911385807	0.013690428674064
mcomisiones_mantenimiento	0.00946545297013401	0.015059267750908	0.00922008461722679
ccomisiones_otras	0.00915766269220606	0.0133281067852146	0.0158856869162609
Visa_msaldototal	0.00844720396089286	0.00906703651799372	0.0147681009020516
Visa_cconsumos	0.00811987362363089	0.00859735691615481	0.0127324978047418
ctransferencias_recibidas	0.00778558234956389	0.0111468434595345	0.00953939490700088
mtarjeta_visa_debitos_automaticos	0.00749597395224796	0.0103809058920634	0.0127724115909635
