Feature	Gain	Cover	Frequency
mcaja_ahorro	0.114927436184109	0.0176952555269161	0.0138475662626022
ctrx_quarter_normalizado	0.0900513751351441	0.0148397144667068	0.0100307723694724
mv_status07_tend6	0.0587956789032113	0.00633655468589212	0.00159812305547527
mv_Finiciomora	0.0380538016704508	0.0244676946333924	0.00477736785732501
ctrx_quarter	0.0377061268781613	0.00986998658099737	0.00962274095105323
mdescubierto_preacordado_tend6	0.037634431577208	0.00751491085264336	0.00185314269198728
Visa_status	0.0353489720747237	0.00439623397332748	0.00164062632822727
mtarjeta_visa_consumo	0.0332725194716616	0.0168781355328719	0.012461959570887
mcuentas_saldo	0.0240368847752833	0.0165249169166502	0.0141025858991142
ctarjeta_visa_trx	0.0234929295259807	0.0154797038746632	0.0126234720073446
mdescubierto_preacordado	0.0217145943187773	0.00385184011755434	0.00158112174637447
mcaja_ahorro_avg3	0.018422707315998	0.00738177623509884	0.0119349189887621
mprestamos_personales	0.0183355967765344	0.019576465700462	0.0131930158622214
mv_status07_delta2	0.0181616377277559	0.00404112407185476	0.00122409425525765
mv_status07	0.0169056367252753	0.00120858216539601	0.00044203403662082
mpasivos_margen	0.0166817633727928	0.00821077598677317	0.0088916846597188
mcuenta_corriente_tend6	0.0163073702450431	0.00555572327254102	0.009002193168874
mcuenta_corriente	0.0148217432474701	0.00978046694650419	0.0119349189887621
mcuenta_corriente_tend3	0.0146016985547425	0.00346883320297829	0.00563593396691545
ctrx_quarter_delta1	0.0141705436272854	0.0164778053896219	0.0146466277903399
mv_status01_tend6	0.0133245934079947	0.00854515433009929	0.0021761675649025
mprestamos_personales_delta2	0.0121334254084504	0.028947689159979	0.00938472262364202
mv_msaldototal	0.0118581670343578	0.0216227478209249	0.0162702528094663
cpayroll_trx	0.0117509897819064	0.0129099497577157	0.00341726312926095
mpayroll	0.0100836763663125	0.0171393652748949	0.00652000204015709
mpayroll_sobre_edad	0.010073111361848	0.0152189891643251	0.0066305105493123
mvr_mpagominimo	0.00800877564644059	0.0184427751967274	0.0150801611724103
mv_mpagominimo	0.00797384234768365	0.0225469081835904	0.0168908005916456
mcuenta_corriente_avg3	0.00759763947763954	0.0105297303664484	0.0134990394260358
mprestamos_personales_tend6	0.00691507739231618	0.00952279046325679	0.00569543854876826
mcuentas_saldo_tend6	0.00679913844113615	0.00972060631595276	0.0124704602254374
cproductos	0.00640508051808239	0.0170345987098488	0.0106598208062021
ctrx_quarter_tend6	0.00632132247754642	0.00639424444256369	0.0105833149152485
cproductos_sobre_edad_tend6	0.00631733766243471	0.00860184207423405	0.0111953620428773
mpasivos_margen_sobre_edad	0.00627534539321923	0.00628910309999693	0.00827113687753957
mactivos_margen	0.00555047339263306	0.0089303200858209	0.0135160407351366
cproductos_tend3	0.00484557193901126	0.00501652870761116	0.00187864465563848
mcuenta_corriente_delta2	0.00478848816988147	0.00495052992637433	0.00788010676822115
mcuentas_saldo_delta2	0.00466428726671235	0.00926261937192764	0.012759482480151
ctrx_quarter_normalizado_tend6	0.00463897074876066	0.00613800690572739	0.0102007854604805
cproductos_sobre_edad_delta2	0.00445934435314055	0.0164397818725822	0.00718305309508832
mv_mpagospesos_tend6	0.00440775172461279	0.0051771004118988	0.00803311855012836
ccaja_ahorro	0.00413069729478247	0.0180138660832414	0.00249069178326731
Visa_mfinanciacion_limite	0.00410261810870734	0.0113412132160756	0.0152246722997671
ctarjeta_visa_trx_tend6	0.00397072466284449	0.00888787465388718	0.0102347880786821
cpayroll_trx_avg3	0.00387459104074805	0.00742360899392415	0.0043608357843554
Visa_mpagospesos_tend6	0.00384659698118407	0.00765216104852767	0.0139750760808582
cproductos_tend6	0.00371305179749174	0.00852390321841231	0.00476886720277461
ccaja_ahorro_avg3	0.00364446020110181	0.00487039705090356	0.00209116101939849
Visa_mfinanciacion_limite_lag2	0.00356162027127623	0.00950795364201123	0.0144681140447814
mcuenta_debitos_automaticos	0.00354504420411076	0.0144938036289297	0.00802461789557796
Master_fechaalta	0.00352429979932523	0.0113527572834112	0.0186674373926792
Visa_cconsumos_avg6	0.00331172899810454	0.011084821552942	0.0164402659004743
mcuentas_saldo_delta1	0.00327021150734961	0.00879012263644851	0.0104388037878917
mcaja_ahorro_avg6	0.00324773345574004	0.00543355009273862	0.0101157789149765
mrentabilidad_avg6	0.00316707785500088	0.00555090581024742	0.0107958312790085
mactivos_margen_tend6	0.00314482949468196	0.00985501165155299	0.0129549975348102
Visa_Fvencimiento_lag2	0.0031244360562692	0.01272825937846	0.0140940852445638
Visa_cconsumos_tend6	0.00310833605808852	0.00809397040281105	0.0124789608799878
Master_fechaalta_lag2	0.00309802521718593	0.0117843229487215	0.0189309576837417
mcuentas_saldo_lag2	0.00307658660458772	0.00735203530126557	0.0110678522246213
mdescubierto_preacordado_delta1	0.0030697836507395	0.0063055739205759	0.00137710603716486
cpayroll_trx_lag2	0.00304885823542251	0.00590914728830375	0.00265220421972492
mv_Fvencimiento	0.00302963369339787	0.00506383528756175	0.0116288954249477
mactivos_margen_avg3	0.00292935971717932	0.00643195288590456	0.0100987776058757
numero_de_cliente	0.00285813421756791	0.0114688957020732	0.0156242030636359
mactivos_margen_sobre_edad	0.00282872824435745	0.00721379397595445	0.0103877998605893
ccaja_seguridad_lag2	0.00256628975348452	0.0142138166168853	0.00192964858294089
mcomisiones_sobre_edad_avg6	0.00254474361122066	0.0112901846891443	0.0122154405889253
mcuenta_corriente_avg6	0.00252090479138993	0.00739372780592671	0.0112973698974821
Master_Fvencimiento_avg6	0.00245177805133309	0.00570056597048741	0.0140175793536102
mcomisiones_mantenimiento	0.00243036003966248	0.0138681103355913	0.00721705571328992
mrentabilidad_annual_tend6	0.00234987643205724	0.00604819373383051	0.00981825600571244
mcomisiones_mantenimiento_tend6	0.00234679381999196	0.00596278193687353	0.00703004131318112
Master_Fvencimiento_lag2	0.00234620101812303	0.00521711607456109	0.0141705911355174
Visa_status_avg6	0.00226981923077468	0.00209064320968265	0.00106258181880005
mcomisiones_sobre_edad	0.00222070355146954	0.00727176700005267	0.0113993777520869
mtransferencias_emitidas_avg6	0.00221851469071474	0.0128446776156758	0.0112208640065285
mactivos_margen_sobre_edad_avg6	0.00220041338867961	0.00577613376451846	0.00946972916914602
