experimento	fecha	cols	rows	learning_rate	feature_fraction	extra_trees	min_gain_to_split	lambda_l1	lambda_l2	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
termonuclear-HTa	20220724 030135	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	328	339	563	0.00820912644278282	7277	13123000	1
termonuclear-HTa	20220724 030722	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	307	938	108	0.0235769140535636	8243	12817000	2
termonuclear-HTa	20220724 031410	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	182	1216	190	0.0262351627219815	7259	13561000	3
termonuclear-HTa	20220724 032012	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	52	1366	202	0.0316131765634989	6275	12865000	4
termonuclear-HTa	20220724 032608	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	469	279	110	0.0224349254435304	7433	13147000	5
termonuclear-HTa	20220724 033215	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	416	1632	108	0.0262054395081076	7811	13489000	6
termonuclear-HTa	20220724 033959	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	110	1962	283	0.0249788314520209	7850	14350000	7
termonuclear-HTa	20220724 034543	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	216	629	131	0.0192482040789355	9671	13969000	8
termonuclear-HTa	20220724 035224	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	297	1930	154	0.0217057923730712	8816	14164000	9
termonuclear-HTa	20220724 040112	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	218	2000	327	0.021363139295214	7723	13997000	10
termonuclear-HTa	20220724 040747	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	10	1948	285	0.0189264170366718	10159	13361000	11
termonuclear-HTa	20220724 041307	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	149	1947	103	0.0253568713721527	7860	14040000	12
termonuclear-HTa	20220724 042010	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	111	2000	222	0.0198052571192623	9450	14430000	13
termonuclear-HTa	20220724 042655	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	95	2000	235	0.0265268361773312	7679	13381000	14
termonuclear-HTa	20220724 043303	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	111	1832	173	0.0223857893088089	8695	14405000	15
termonuclear-HTa	20220724 044024	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	110	477	299	0.0275569479632754	7265	13555000	16
termonuclear-HTa	20220724 044749	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	111	636	292	0.0249952836722417	7457	14203000	17
termonuclear-HTa	20220724 045614	783	1477957	0.05	0.5	TRUE	0	0	0	1	1	1	-1	31	999983	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	297	100	329	0.015551714914528	7103	13417000	18
