Feature	Gain	Cover	Frequency
Visa_status_tend6	0.0775099452287632	0.00444948653760542	0.0018018018018018
mdescubierto_preacordado	0.0373487757988246	0.00287197123936375	0.00462735462735463
mtarjeta_visa_consumo	0.0350687120230917	0.00978283097192161	0.00335790335790336
mcuentas_saldo	0.0346288527673662	0.00981198868653339	0.00479115479115479
mcaja_ahorro	0.0331316696274342	0.0057913894814235	0.00225225225225225
ctrx_quarter	0.0304012241066139	0.0095075776822274	0.00307125307125307
Master_status	0.0284934110952322	0.002433498673281	0.00204750204750205
ctrx_quarter_avg6	0.0280929540093133	0.00243640424973707	0.00188370188370188
mcaja_ahorro_lag1	0.0266517596617514	0.0067752063722807	0.00331695331695332
ctarjeta_visa_trx	0.0266378443596433	0.00581564698060667	0.00212940212940213
ctrx_quarter_lag1	0.0216455723932531	0.00268077604233404	0.00348075348075348
mcuenta_corriente	0.0162409518466004	0.00362054417368469	0.00536445536445536
mpasivos_margen	0.0130562750139259	0.00504820667385777	0.00331695331695332
internet_avg6	0.0127124658161063	0.00287955384329875	0.0042997542997543
mcuenta_corriente_tend6	0.0114978718332887	0.00162002240765133	0.00405405405405405
mprestamos_personales	0.0109514501944521	0.0099309784487302	0.00548730548730549
mpayroll	0.0104497452237987	0.017889014273491	0.00405405405405405
Visa_Finiciomora	0.00892376716085204	0.00577571975857095	0.00274365274365274
mcaja_ahorro_avg6	0.00815265800566166	0.00179503454954421	0.00253890253890254
Visa_mconsumototal	0.00759516046144419	0.00164513187861279	0.00307125307125307
Visa_Fvencimiento_delta1	0.00710379114103875	0.000222645410087627	0.00040950040950041
mautoservicio	0.00680190932394366	0.00502565477147527	0.00208845208845209
ctarjeta_debito_trx	0.00674843177736387	0.00125528728257461	0.000573300573300573
cpayroll_trx_avg6	0.00659594938934081	0.00787552654625083	0.00245700245700246
mprestamos_personales_tend6	0.00655723015102168	0.00556795850486113	0.00331695331695332
mprestamos_personales_avg6	0.00591674393184297	0.00106932901168279	0.00286650286650287
foto_mes	0.00538810707635426	0.00532468143538032	0.00524160524160524
mdescubierto_preacordado_delta1	0.0052491623622307	0.00612744357726245	0.00196560196560197
cprestamos_personales_tend6	0.00509850085009985	0.00461834558060399	0.00167895167895168
Visa_msaldopesos	0.00505450865406645	0.00289077661513903	0.00438165438165438
ctrx_quarter_tend6	0.00503568869738596	0.00433595992044365	0.00552825552825553
Visa_Finiciomora_delta1	0.0046001122686174	0.00323707641557186	0.00106470106470106
ctarjeta_visa_avg6	0.00456870155064385	0.00077026597640817	0.000163800163800164
mcomisiones_mantenimiento_tend6	0.00442307685927632	0.00545779458614126	0.0042997542997543
mes	0.00432929650055088	0.0116129159490306	0.00454545454545455
mdescubierto_preacordado_tend6	0.00431177867956357	0.002452543493906	0.00106470106470106
Master_status_tend6	0.00428367525318557	0.0022756381120103	0.000982800982800983
tmobile_app	0.00427326687799655	0.00123130284420396	0.00741195741195741
ctrx_quarter_delta1	0.00418696516054404	0.00758885457529384	0.00757575757575758
Visa_mconsumospesos	0.00398912757582259	0.00158935638336477	0.00212940212940213
Visa_mpagominimo	0.00393062700765595	0.00345395200384914	0.00507780507780508
mpayroll_lag1	0.00386406771351611	0.0048472140769183	0.00221130221130221
Visa_mpagospesos	0.00378783429742338	0.00268115711509258	0.00352170352170352
ccomisiones_mantenimiento_tend6	0.00368715625475129	0.00581568417859829	0.00229320229320229
mcuentas_saldo_tend6	0.00357873885408305	0.00269957893824321	0.00384930384930385
mtransferencias_recibidas	0.00351229511097566	0.00418391271641052	0.0024979524979525
mprestamos_personales_delta1	0.00342560591369889	0.0102767073288769	0.00421785421785422
active_quarter_lag1	0.00325410553682816	0.000836881241953186	0.00143325143325143
Visa_mpagospesos_lag1	0.0030702737369566	0.00112814151629059	0.0033988533988534
mcuentas_saldo_delta1	0.0029728437389311	0.00644623174309759	0.00540540540540541
